randomized,unique_id,n_agents,uncertainty,n_experiments,p_rewiring,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,degree_entropy,share_of_correct_agents_at_convergence,convergence_step
True,53bb351f717a45ca904fa41e510bf1fc,100,0.0011390219510971672,3,0.32862568232700085,4.85,0.5951134020618557,0.11391234810263243,2.2928350158553017,0.95,500
True,e1ef1f1fc9234671910e191333c344f8,100,0.002452944622785744,1,0.1428470602645185,4.85,0.7341649484536084,0.1769603529043353,2.123990312382749,0.91,500
True,8b5000dc46ce46a3a0f310e083ba7129,100,0.0016184306625839878,8,0.2716445241202212,4.85,0.6363917525773196,0.125262130325496,2.250334364567147,0.59,500
True,97e00fe764b44eb4a87ef7a5a5c23e9a,100,0.0018023374124867659,5,0.00038746217063634347,4.85,0.8204329896907216,0.23761955115944158,1.961394824289003,0.23,500
True,cb28ec96cecf4d699bc284874f6b0fb7,100,0.0016160402909509008,12,0.07509079702166405,4.85,0.764020618556701,0.194571536338942,2.1578230328026136,0.91,500
True,7e75a8d300c14cd89fa83e423b88d5c1,100,0.0015194475168532106,14,0.09643062240638839,4.85,0.7522268041237113,0.18265385379967525,2.1612638752538964,0.86,500
True,3616c2ee50d445cfae08a95886bc63d3,100,0.0017270696725020206,10,0.028328162131788348,4.85,0.8022061855670103,0.2210173421100343,2.0515765467631417,0.95,500
True,100608b0cdb14833b7ced30fba0d216c,100,0.0010049779468875193,8,0.24531879880766927,4.85,0.6932989690721649,0.16724376164476806,2.21124024126095,0.36,500
True,f7d0272fd434426b844b0b4635532e4b,100,0.002392645992125581,8,0.18768936294267186,4.85,0.6861649484536082,0.15159650943241887,2.2734038936644327,0.93,500
True,dd8a99ea0b4844469a3a4490da75c725,100,0.001124941416826879,1,0.2557731196785908,4.85,0.638701030927835,0.132629343647232,2.2901524399249955,0.59,500
True,d4863021cbe14fc4949c75d1e053d5d0,100,0.002415001071768725,14,0.345858051625607,4.85,0.5739175257731959,0.11213465328092552,2.3481566474455082,0.4,500
True,81fed0fa76524b63bcff77bfefe923c5,100,0.0022260176925897298,6,0.16579190595253696,4.85,0.7141649484536083,0.16134645114943408,2.2003736257979627,0.68,500
True,6306ac380f1248baa37638393222c805,100,0.00144673250874555,14,0.23480281460734842,4.85,0.6697525773195876,0.14481618347160302,2.256922951478737,0.88,500
True,4589472ba9ac41cd885ab9432924edb8,100,0.001390477960706729,10,0.13999186397389868,4.85,0.7297525773195876,0.17666895549282718,2.157309811131221,0.91,500
True,cdc65202429b4c038f40b11462d7af60,100,0.0014369777978679224,6,0.01555837965393242,4.85,0.8052164948453608,0.2216661302911724,2.0177968173113268,0.85,500
True,2f5b2e1eddfe44588ae7edb74fc5fe64,100,0.0009165524758893375,9,0.03718059411969327,4.85,0.8048041237113402,0.22886684938671503,2.0313254063652555,0.05,500
True,46458a21e7ea4e948ac6de40cf4fd50d,100,0.0023406348820259565,4,0.06086095182645562,4.85,0.7731340206185567,0.20882945303630496,2.123367802867307,0.79,500
True,df906eb232f243829fe2e3457722801c,100,0.002495445077459961,7,0.3667718657570351,4.85,0.5880206185567011,0.11095829208421767,2.2339082298142814,0.98,500
True,4a5b6dddadae4cf8881b12af7ef83a1c,100,0.00156252037222322,12,0.41229277339586684,4.85,0.5562268041237113,0.09975634548614457,2.3257980309043473,0.87,500
True,e5947e094793483db5010fbad6c6b88a,100,0.0009388268196728841,15,0.2804840191363668,4.85,0.6394432989690721,0.13424520778944188,2.2364721751924206,0.39,500
True,962885fda52c43dabdbc34b34d003647,100,0.0014978359757966049,10,0.3417240284096195,4.85,0.6249690721649485,0.12811198653942368,2.266897715995568,0.64,500
True,6cf9aec715c84f7eb7af160ad315df68,100,0.0021081501369810433,13,0.3399902875821704,4.85,0.5882268041237113,0.10687058032909151,2.3065441304875076,0.91,500
True,64896d671890437993492298c541b893,100,0.0015652702791475776,1,0.11131009439100464,4.85,0.7501237113402062,0.1847386827668269,2.2013106012957744,0.63,500
True,6f772466373942d6b9e50d9d4d761b49,100,0.001078665604541719,2,0.40771457681516743,4.85,0.5530927835051547,0.10668399386209346,2.291294082033026,0.92,500
True,796574168a1546558c6d13bf619d57a6,100,0.0016453181152555514,9,0.15167605764306252,4.85,0.7402680412371134,0.18549536765259986,2.20444937261762,0.35,500
True,a2bedfe6daa54f079259c4bc7e1036c0,100,0.0013707690532992528,12,0.4803853339918952,4.85,0.47684536082474227,0.07495508206239404,2.275691165514238,0.83,500
True,53865951e31f46eea5f3876f523b0931,100,0.0012945970847231065,10,0.12573652231874094,4.85,0.7545773195876287,0.17925209575997045,2.155321014601381,0.61,500
True,d4440da3e33041729e61e9a324452d9c,100,0.001135774242644242,13,0.23859423313449257,4.85,0.6390309278350516,0.1349165579305369,2.265447514158712,0.01,500
True,1d854393b57f4e8794ac8ec21bbe6358,100,0.001847348028657967,15,0.155472657907411,4.85,0.7026185567010309,0.15895607995940414,2.2177772798866373,0.92,500
True,dc0c821783e64445b338d16a604d596d,100,0.0024841817250510546,14,0.44482242053106363,4.85,0.5030309278350515,0.08653430320621856,2.229568570528392,0.74,500
True,f0f2336e6b96404ab1a5194eb24b4410,100,0.0021987025125838433,9,0.24433563007405223,4.85,0.6368865979381443,0.12484358822227529,2.2042628385719345,0.7,500
True,8f78141b75c241aa84f0ebde28a357dc,100,0.001372817988017567,14,0.22812683830112768,4.85,0.6879381443298969,0.15185211678801716,2.255005413085984,0.59,500
True,6597ed5a72f3400da91e3c4095911597,100,0.0007933696448130337,6,0.2760783571400455,4.85,0.6475257731958763,0.1268339166343433,2.2055153043417213,0.9,500
True,07ac5fbc2036429a8748feb86aae3abf,100,0.0009214911719303951,8,0.13418960885160847,4.85,0.7371340206185567,0.1853330408595009,2.1510091958726307,0.66,500
True,67fc99b1806d44de8e202b84d6dd2df4,100,0.0022838698547812024,1,0.4761232036304496,4.85,0.5060412371134021,0.08124355156339746,2.2756859688994515,0.5,500
True,ff589c20b9e6478ca67e2a9d2c214fb4,100,0.0013012986872032138,4,0.3767207203379896,4.85,0.5949484536082474,0.11916525668269397,2.2445334644493062,0.24,500
True,220a0e107592490cbdaa4abff336561a,100,0.0011293980913107216,5,0.319766822033151,4.85,0.627979381443299,0.13963177185176243,2.250735004643394,0.6,500
True,5e7b57f8458f42bbba4582e1ea9f4c27,100,0.0009992067514086817,3,0.46724745399464984,4.85,0.5023711340206186,0.07140248217017468,2.2102080897883183,0.65,500
True,5d84807f965340049f0780276847aa66,100,0.0019688429954538207,12,0.20923862941187948,4.85,0.6982061855670103,0.1521398985746824,2.268551182385197,0.42,500
True,ebd0dc98c11340c2ba0f2687ddaa0295,100,0.0017423695743420359,10,0.15068870583356303,4.85,0.7055051546391752,0.1759188259121826,2.1781551485332487,0.4,500
True,b169c12172e045088c35edf292e491e4,100,0.0023182901770599914,13,0.15772398193327286,4.85,0.7280618556701032,0.173940378691651,2.184291319979839,0.22,500
True,87ea6f58741246be9c2cf20106da9e39,100,0.001799338829893509,2,0.4590918978041728,4.85,0.5124742268041237,0.08699468044293013,2.304355796292031,0.41,500
True,f12d6de416dd48ccb7b1afe8eeb97a36,100,0.001137565389595185,4,0.3825974193250264,4.85,0.6110309278350515,0.1180033590037136,2.2915791541772954,0.92,500
True,1d47301d32034363b6f6b2b215d74073,100,0.002288711601994099,1,0.11911594036754042,4.85,0.7258762886597938,0.1869111286723311,2.1934021315783943,0.51,500
True,9923d97c69b64b489b33d9043bf25962,100,0.002402319169376319,8,0.09885626808189962,4.85,0.7707010309278352,0.20154485029781463,2.09508719091467,0.79,500
True,9c5b6e39e1114e05a7af7f507b390e91,100,0.00144618480977932,10,0.24673684303159282,4.85,0.654,0.14208306752286723,2.2121469484457585,0.46,500
True,4d872dabc41e47c4a21c2cb110820759,100,0.0024733178696432338,12,0.42311581991114317,4.85,0.573340206185567,0.09416159329219807,2.23819192450061,0.83,500
True,049dcbc9ff384263852236bf34636dc8,100,0.001035327109955439,2,0.09841035930266051,4.85,0.754,0.19971850611733263,2.1438090970514505,0.36,500
True,47e780612be3465cbef0d4aa5c319383,100,0.0015935368636884886,7,0.289487453221837,4.85,0.6496288659793814,0.14157394736538678,2.276972329379598,0.31,500
True,56c20c7d45df40b5b98c9f4af62f3a6c,100,0.001673853878036731,10,0.1409313516491052,4.85,0.7520618556701031,0.18933328214885808,2.176291155927423,0.65,500
True,f919ff15e5454346b2a4951a82d0085b,100,0.0013837933410193468,11,0.18339590076771112,4.85,0.6883917525773197,0.15979431503039432,2.2510226543372207,0.89,500
True,a3e093af76854f828412ff2b62518bfc,100,0.00217944260916758,14,0.49536976435994545,4.85,0.4930927835051546,0.08211759119436944,2.392920029269411,0.86,500
