randomized,unique_id,n_agents,uncertainty,n_experiments,p_rewiring,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,avg_path_length,degree_entropy,reachability_dominator_set_size,reachability_dominator_set_ratio,condensation_graph_size,condensation_graph_ratio,share_of_correct_agents_at_convergence,convergence_step,init_agents_alphas_betas,degree_centrality_vector,simulation_seed
True,3b8a46ac82d84581ad682b8e3b250414,200,0.0003891096316919443,7607,0.10926366665779219,4.925,0.7901573604060914,0.14705988343545326,201,2.14710215452325,1,0.005,103,0.515,0.835,3,here goes the list of initial alphas and betas,here goes the degree centrality vector,4184861254
True,2239257591c04af796de34d5a82e89ef,200,0.0006474365335556273,2773,0.00404454098536744,4.925,0.8537715736040609,0.18852722788863843,201,1.9115735126296425,1,0.005,200,1.0,0.65,3,here goes the list of initial alphas and betas,here goes the degree centrality vector,894224458
True,f47b3e871b64449a80408909090267c1,200,0.000975457016469367,2655,0.9177718978799396,4.925,0.2728477157360406,0.027413584920302107,201,2.2332110399746843,2,0.01,4,0.02,0.48,4,here goes the list of initial alphas and betas,here goes the degree centrality vector,2025441392
True,d8a9d34790184d04baa2d139374c2233,200,0.0002530813790626522,6474,0.29438895366998175,4.925,0.661964467005076,0.0907957834149013,201,2.344226980808612,1,0.005,42,0.21,0.42,4,here goes the list of initial alphas and betas,here goes the degree centrality vector,822006114
True,aaee52c78621489a9127b0af72211ccd,200,0.0007714906696817997,2677,0.5323888632376947,4.925,0.5185736040609137,0.04933983932472344,201,2.370870031809379,1,0.005,11,0.055,0.485,5,here goes the list of initial alphas and betas,here goes the degree centrality vector,4171246613
True,6b906b97b74c43259e4e99e3754fd623,200,0.00011206680312873117,2520,0.17396574171316725,4.925,0.7383096446700508,0.12035434566359282,201,2.2703458342845426,1,0.005,72,0.36,0.415,5,here goes the list of initial alphas and betas,here goes the degree centrality vector,1591886420
True,54fcd1bb07a449cbbab3a0e20f09eec7,200,1.4188702503033739e-05,2131,0.6932692144592197,4.925,0.38438071065989843,0.030333997097585684,201,2.289695675049236,1,0.005,5,0.025,0.625,6,here goes the list of initial alphas and betas,here goes the degree centrality vector,186350537
True,e29283a7f49248cea9ec03e955c90ddc,200,0.00015322645433839607,4802,0.4710897275398026,4.925,0.550989847715736,0.0671364910737392,201,2.2615880474995445,1,0.005,13,0.065,0.645,6,here goes the list of initial alphas and betas,here goes the degree centrality vector,2133488321
True,fdc55a21ed5740bbb879487ce1b6a946,200,0.00042767574725102075,7617,0.9453079432587529,4.925,0.25115228426395947,0.028435435120329443,201,2.1879945762075717,1,0.005,3,0.015,0.64,4,here goes the list of initial alphas and betas,here goes the degree centrality vector,2462503411
True,5b5c60600a6c49fd99f4439620b8c6fb,200,4.1917019341857657e-05,1450,0.6094145684603386,4.925,0.45353807106598987,0.04210139503668387,201,2.3566314282017964,1,0.005,7,0.035,0.535,7,here goes the list of initial alphas and betas,here goes the degree centrality vector,2536621099
