randomized,unique_id,n_agents,uncertainty,n_experiments,p_rewiring,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,avg_path_length,degree_entropy,reachability_dominator_set_size,reachability_dominator_set_ratio,condensation_graph_size,condensation_graph_ratio,proportion_edges,parameter_random_seed,share_of_correct_agents_at_convergence,convergence_step,init_agents_alphas_betas,degree_centrality_vector,simulation_seed
True,ba418d02cd5c4bf59ead5cbde6c5d729,5493,0.0009676459077204,8142,0.1289295174421832,4.538503549972693,0.7223776400975344,0.1171678535222669,5494,2.4411906018460554,980,0.1784088840342254,3562,0.648461678499909,0.1289295174421832,554433315,0.8833060258510832,165,here goes the list of initial alphas and betas,here goes the degree centrality vector,1285750866
True,d5252b6ddbee4a2ca92dda9392a2edb0,5493,0.0007001375478867,8380,0.4890186542220264,5.832332058984162,0.7170096159239601,0.1171740454791456,5494,2.637448717735062,845,0.1538321500091025,3366,0.6127799016930638,0.4890186542220264,4040595002,0.8818496267977426,169,here goes the list of initial alphas and betas,here goes the degree centrality vector,3861543384
True,45ed2fcc62934c5ba64bc6ef8cbf37f6,5493,0.0009632936990867,7484,0.6069649196620961,6.1465501547424,0.7153028268459535,0.1172238104048398,5494,2.680904221404006,789,0.1436373566357182,3351,0.6100491534680502,0.6069649196620961,3845536670,0.8987802657928272,170,here goes the list of initial alphas and betas,here goes the degree centrality vector,3352547991
True,39374d7aa2e3481dbf253e6ef9bbc284,5493,0.0006125465548672,9237,0.6148420791734025,6.199344620425997,0.7163152026181823,0.1172277416083805,5494,2.6839624881335467,800,0.1456399053340615,3332,0.6065902057163662,0.6148420791734025,3703154090,0.8685599854360094,173,here goes the list of initial alphas and betas,here goes the degree centrality vector,2914485280
True,a866e1489478450883225bec61ff878b,5493,0.0007330892402243,8264,0.6344138611584508,6.214636810486073,0.7151802590072202,0.1171075483006554,5494,2.6853665422983792,795,0.1447296559257236,3354,0.610595303113053,0.6344138611584508,1519605980,0.8860367740760968,187,here goes the list of initial alphas and betas,here goes the degree centrality vector,1371150940
True,84488245d3df4146a9965091cafbc1b7,5493,0.0007085180844306,5201,0.6039054386269047,6.147642454032405,0.7146962655223481,0.1171998559878419,5494,2.680019004092932,795,0.1447296559257236,3329,0.6060440560713636,0.6039054386269047,3260832488,0.8618241398143092,191,here goes the list of initial alphas and betas,here goes the degree centrality vector,968179159
True,e43137eaac3e4c85a256545b7e7bbbec,5493,0.0007999978764365,7989,0.0937154201113088,4.400873839432005,0.7223302517395764,0.1174296123942371,5494,2.416146670338359,997,0.1815037320225742,3613,0.6577462224649554,0.0937154201113088,2037446341,0.874749681412707,202,here goes the list of initial alphas and betas,here goes the degree centrality vector,3196875306
True,466b9c11efc84345b1b137e22812b28c,5493,0.0007207505268409,6886,0.3396443758714841,5.311669397414891,0.7208910759250335,0.1171417656696239,5494,2.5643638717411474,908,0.1653012925541598,3443,0.6267977425814674,0.3396443758714841,3580146715,0.8718368833060258,201,here goes the list of initial alphas and betas,here goes the degree centrality vector,3315218798
True,5d0869ec10db4725bb81c03455164e63,5493,0.000646703314843,6942,0.6689955926934582,6.331876934279992,0.7152950630993808,0.1172686690370913,5494,2.701990221058608,784,0.1427271072273803,3334,0.6069543054797014,0.6689955926934582,3218372375,0.861460040050974,203,here goes the list of initial alphas and betas,here goes the degree centrality vector,1991869713
True,412592bd17204bdfa6db361f1af91e47,5493,0.0009558787958833,7661,0.0292078396423181,4.151465501547424,0.7227862969096578,0.1172594666805114,5494,2.3699416702847804,1018,0.1853267795375933,3665,0.6672128163116694,0.0292078396423181,1087772811,0.8754778809393774,206,here goes the list of initial alphas and betas,here goes the degree centrality vector,1494554489
