randomized,unique_id,network_type,source_id,network_path,uncertainty,n_experiments,parameter_random_seed,sa_source_id,sa_source_path,sa_n,sa_m0,sa_target_stat,sa_target_value_requested,sa_seed,sa_degree_gini_mode,sa_connectivity_mode,sa_in_band_loss_mode,sa_target_in_band_loss_mode,sa_preserve_in_band_loss_mode,sa_feasible_preserve_weight,sa_feasible_selection_mode,sa_baseline_density,sa_baseline_degree_gini,sa_baseline_clustering,sa_baseline_triplets,sa_baseline_closed_triplets,sa_target_value_achieved,sa_achieved_density,sa_achieved_degree_gini,sa_achieved_clustering,sa_achieved_triplets,sa_achieved_closed_triplets,sa_target_error,sa_target_error_scaled,sa_preserve_center,sa_max_preserve_error_scaled,sa_edit_distance,sa_feasible,sa_delta_density,sa_delta_degree_gini,sa_delta_clustering,sa_preserve_error_degree_gini,sa_preserve_error_clustering,sa_preserve_error_scaled_degree_gini,sa_preserve_error_scaled_clustering,sa_attain_phase,sa_attain_seed,sa_attain_runtime_seconds,sa_attain_initial_temperature,sa_attain_final_temperature,sa_attain_best_energy,sa_attain_current_energy,sa_attain_n_proposals,sa_attain_n_accepted,sa_attain_acceptance_rate,sa_attain_found_feasible,sa_attain_stop_reason,sa_attain_first_feasible_accepted_step,sa_attain_best_feasible_edit_distance,sa_attain_best_overall_density,sa_attain_best_overall_degree_gini,sa_attain_best_overall_clustering,sa_attain_best_overall_edit_distance,sa_attain_degree_gini_mode,sa_attain_connectivity_mode,sa_attain_proposed_add_edge,sa_attain_proposed_delete_edge,sa_attain_proposed_source_rewire,sa_attain_proposed_target_rewire,sa_attain_proposed_double_edge_swap,sa_attain_proposed_density_repair,sa_attain_proposed_edge_repair,sa_attain_proposed_degree_preserving_repair,sa_attain_proposed_total,sa_attain_accepted_add_edge,sa_attain_accepted_delete_edge,sa_attain_accepted_source_rewire,sa_attain_accepted_target_rewire,sa_attain_accepted_double_edge_swap,sa_attain_accepted_density_repair,sa_attain_accepted_edge_repair,sa_attain_accepted_degree_preserving_repair,sa_attain_accepted_total,sa_compress_phase,sa_compress_seed,sa_compress_runtime_seconds,sa_compress_initial_temperature,sa_compress_final_temperature,sa_compress_best_energy,sa_compress_current_energy,sa_compress_n_proposals,sa_compress_n_accepted,sa_compress_acceptance_rate,sa_compress_found_feasible,sa_compress_stop_reason,sa_compress_first_feasible_accepted_step,sa_compress_best_feasible_edit_distance,sa_compress_best_overall_density,sa_compress_best_overall_degree_gini,sa_compress_best_overall_clustering,sa_compress_best_overall_edit_distance,sa_compress_degree_gini_mode,sa_compress_connectivity_mode,sa_compress_proposed_add_edge,sa_compress_proposed_delete_edge,sa_compress_proposed_source_rewire,sa_compress_proposed_target_rewire,sa_compress_proposed_double_edge_swap,sa_compress_proposed_density_repair,sa_compress_proposed_edge_repair,sa_compress_proposed_degree_preserving_repair,sa_compress_proposed_total,sa_compress_accepted_add_edge,sa_compress_accepted_delete_edge,sa_compress_accepted_source_rewire,sa_compress_accepted_target_rewire,sa_compress_accepted_double_edge_swap,sa_compress_accepted_density_repair,sa_compress_accepted_edge_repair,sa_compress_accepted_degree_preserving_repair,sa_compress_accepted_total,sa_compression_edit_improvement,sa_compression_improved_edit_distance,sa_grid_index,sa_seed_index,sa_saved_graph_path,sa_matrix_path,sa_preserve_error_density,sa_preserve_error_scaled_density,degree_gini_coefficient,approx_average_clustering_coefficient,average_degree,n_agents,share_of_correct_agents_at_convergence,share_of_core_agents_at_convergence,convergence_step,proportion_reached_by_truth
True,040e83c2aa704924b52872f393837aaa,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/degree_gini/grid_004_seed_1040009.pkl,0.0007628769149559543,9714,477517500,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,degree_gini,0.8472906033271764,1040009,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.8501110622321306,0.011615565570719112,0.8501110622321306,0.4216968701663261,52367.0,22083.0,0.002820458904954193,0.9401529683180643,6.724668645740319e-10,2.5931966076139153e-05,410.0,True,0.0,-0.0703193047646613,-8.641812504484037e-08,,8.641812504484037e-08,,2.5931966076139153e-05,attain,1040009,11.309233041945845,5.926656656763584,5.748856957060677,0.027718312683028153,0.027718312683028153,202,202,1.0,1,first_feasible,202.0,404.0,0.011615565570719112,0.8502778080917834,0.42166949815793997,404,out,weak,0,0,202,0,0,0,0,0,202,0,0,202,0,0,0,0,0,202,compress,11040009.0,34.73831854085438,0.8377334483257073,0.7882234015296579,0.826473740441408,0.8633223317258961,422.0,422.0,1.0,1.0,compress_no_improvement_patience,0.0,410.0,0.011615565570719112,0.8502778080917834,0.4217016971154764,404.0,out,weak,0.0,0.0,294.0,0.0,0.0,0.0,128.0,0.0,422.0,0.0,0.0,294.0,0.0,0.0,0.0,128.0,0.0,422.0,-6.0,False,4,2,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/degree_gini/grid_004_seed_1040009.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/matrices/ego_network/degree_gini/grid_004_seed_1040009.npz,0.0,0.0,0.8501110622321306,0.4216968701663261,5.831013916500995,503,1.0,1.0,10000,1.0
True,5dd714f585ce4df4931fb185219b0dab,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/degree_gini/grid_049_seed_1490007.pkl,0.00018861032366220617,7622,2778008870,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,degree_gini,0.9196266333300929,1490007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.9204303669967919,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464.0,23389.0,0.000803733666699058,0.26791122223301933,0.0,0.0,0.0,True,0.0,0.0,0.0,,0.0,,0.0,attain,1490007,1.5830155462026596e-06,0.11428331622083401,0.11428331622083401,0.0,0.0,0,0,0.0,1,initial_feasible,0.0,0.0,0.011615565570719112,0.9204303669967919,0.42169695658445117,0,out,weak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,compress,11490007.0,9.774887125007808,0.2974735977058145,0.28854938977464006,0.0,0.0,400.0,400.0,1.0,1.0,compress_no_improvement_patience,0.0,0.0,0.011615565570719112,0.9204303669967919,0.42169695658445117,0.0,out,weak,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,400.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,400.0,0.0,False,49,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/degree_gini/grid_049_seed_1490007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/matrices/ego_network/degree_gini/grid_049_seed_1490007.npz,0.0,0.0,0.9204303669967919,0.42169695658445117,5.831013916500995,503,0.9960238568588469,1.0,10000,0.0
True,b3eeb58a5d1449d49b3d10d9c57e90b0,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/density/grid_038_seed_380007.pkl,0.0008126466934121167,2178,1850691724,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,density,0.010266282701393153,380007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.010269062913356514,0.010269062913356514,0.9204303680424204,0.4216971974969538,48421.0,20419.0,2.7802119633608957e-06,0.009574090719678232,5.226247634454957e-09,7.22919508130375e-05,340.0,True,-0.0013465026573625978,1.0456284726956255e-09,2.4091250261371044e-07,1.0456284726956255e-09,2.4091250261371044e-07,3.4854282423187516e-07,7.22919508130375e-05,attain,380007,5.737795333843678,2.091964215715862,2.029205289244386,0.01847046044561736,0.018479825063548873,268,268,1.0,1,first_feasible,268.0,268.0,0.010558164954496132,0.9204517829258507,0.42170130497825037,267,out,weak,0,268,0,0,0,0,0,0,268,0,268,0,0,0,0,0,0,268,compress,10380007.0,24.4283392499201,0.6645665312786333,0.5535653159678741,0.5489001861972194,0.695745501099172,1221.0,1216.0,0.9959049959049959,1.0,compress_no_improvement_patience,0.0,340.0,0.010554204652562712,0.9204241716679287,0.4216675731753994,268.0,out,weak,392.0,467.0,0.0,0.0,0.0,82.0,280.0,0.0,1221.0,391.0,463.0,0.0,0.0,0.0,82.0,280.0,0.0,1216.0,-72.0,False,38,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/density/grid_038_seed_380007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/matrices/ego_network/density/grid_038_seed_380007.npz,,,0.9204303680424204,0.4216971974969538,5.155069582504971,503,1.0,1.0,10000,1.0
True,1ca6bd40e6114b27b61746b5e1cb80c2,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/degree_gini/grid_050_seed_1500009.pkl,0.0004221703057790979,5336,1287583007,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,degree_gini,0.921234100663491,1500009,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.9204303669967919,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464.0,23389.0,0.000803733666699058,0.26791122223301933,0.0,0.0,0.0,True,0.0,0.0,0.0,,0.0,,0.0,attain,1500009,1.6670674085617065e-06,0.11876980914228259,0.11876980914228259,0.0,0.0,0,0,0.0,1,initial_feasible,0.0,0.0,0.011615565570719112,0.9204303669967919,0.42169695658445117,0,out,weak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,compress,11500009.0,9.67892204108648,0.4721731188198488,0.4442676874975957,0.0,0.0,402.0,400.0,0.9950248756218906,1.0,compress_no_improvement_patience,0.0,0.0,0.011615565570719112,0.9204303669967919,0.42169695658445117,0.0,out,weak,0.0,0.0,202.0,0.0,0.0,0.0,200.0,0.0,402.0,0.0,0.0,200.0,0.0,0.0,0.0,200.0,0.0,400.0,0.0,False,50,2,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/degree_gini/grid_050_seed_1500009.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/matrices/ego_network/degree_gini/grid_050_seed_1500009.npz,0.0,0.0,0.9204303669967919,0.42169695658445117,5.831013916500995,503,0.9960238568588469,1.0,10000,0.0
True,ee1bb1de4fd147e3aac7c85e7a1064f8,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/clustering/grid_046_seed_2460008.pkl,0.00040436686964540324,1082,1487236551,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,clustering,0.41424271745290786,2460008,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.41690404932751596,0.011615565570719112,0.9204303669967919,0.41690404932751596,55466.0,23124.0,0.002661331874608097,0.8871106248693658,0.0,0.0,4.0,True,0.0,0.0,-0.004792907256935208,0.0,,0.0,,attain,2460008,0.0348000000230968,0.8424313232618675,0.8424313232618675,0.0005455165359699966,0.0005455165359699966,2,2,1.0,1,first_feasible,2.0,8.0,0.011615565570719112,0.9204303669967919,0.41452421303140663,8,out,weak,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,2,compress,12460008.0,16.349370582960546,0.0229417518068091,0.02158589427502668,0.008182748039549948,0.008287298836301303,496.0,401.0,0.8084677419354839,1.0,compress_no_improvement_patience,0.0,4.0,0.011615565570719112,0.9204303669967919,0.41690404932751596,4.0,out,weak,0.0,0.0,0.0,0.0,294.0,0.0,16.0,186.0,496.0,0.0,0.0,0.0,0.0,200.0,0.0,15.0,186.0,401.0,4.0,True,46,1,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/clustering/grid_046_seed_2460008.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/matrices/ego_network/clustering/grid_046_seed_2460008.npz,0.0,0.0,0.9204303669967919,0.41690404932751596,5.831013916500995,503,1.0,1.0,10000,1.0
True,3ae088277d95430d8076eaaec916afb1,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/clustering/grid_061_seed_2610008.pkl,0.0005878669928912564,3167,3763473508,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,clustering,0.4461894565880935,2610008,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.44328061369447863,0.011615565570719112,0.9204303669967919,0.44328061369447863,52795.0,23403.0,0.0029088428936148714,0.9696142978716238,0.0,0.0,38.0,True,0.0,0.0,0.021583657110027465,0.0,,0.0,,attain,2610008,2.724844624986872,28.4648743873142,28.4648743873142,0.023368651833378242,0.023593590180702353,92,92,1.0,1,first_feasible,92.0,346.0,0.011615565570719112,0.9204303669967919,0.44318017888055394,342,out,weak,0,0,0,0,92,0,0,0,92,0,0,0,0,92,0,0,0,92,compress,12610008.0,48.946638124994934,0.01966435869155045,0.017408715362890622,0.05755531572451771,0.07836664919324379,837.0,716.0,0.8554360812425329,1.0,compress_no_improvement_patience,0.0,38.0,0.011615565570719112,0.9204479905429341,0.44336747250250835,28.0,out,weak,0.0,0.0,0.0,0.0,420.0,0.0,165.0,252.0,837.0,0.0,0.0,0.0,0.0,302.0,0.0,162.0,252.0,716.0,308.0,True,61,1,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/clustering/grid_061_seed_2610008.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/matrices/ego_network/clustering/grid_061_seed_2610008.npz,0.0,0.0,0.9204303669967919,0.44328061369447863,5.831013916500995,503,1.0,1.0,10000,1.0
True,4ed5349dfa0d48b8b62cf97dc2543716,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/clustering/grid_026_seed_2260008.pkl,0.0007798847190627039,9324,2470934181,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,clustering,0.3716470652726602,2260008,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.3746303910419036,0.011615565570719112,0.9204303669967919,0.3746303910419036,57155.0,21412.0,0.0029833257692433723,0.9944419230811241,0.0,0.0,36.0,True,0.0,0.0,-0.04706656554254757,0.0,,0.0,,attain,2260008,0.5559168339241296,17.21390264630545,17.21390264630545,0.004364132287759973,0.004364132287759973,17,17,1.0,1,first_feasible,17.0,64.0,0.011615565570719112,0.9204303669967919,0.37408528892253345,64,out,weak,0,0,0,0,17,0,0,0,17,0,0,0,0,17,0,0,0,17,compress,12260008.0,33.700356166111305,0.022577597016224877,0.020605963201589004,0.06137714472142158,0.06618240465024754,642.0,550.0,0.8566978193146417,1.0,compress_no_improvement_patience,0.0,36.0,0.011615565570719112,0.920433078311583,0.37435302670982706,30.0,out,weak,0.0,0.0,0.0,0.0,355.0,0.0,171.0,116.0,642.0,0.0,0.0,0.0,0.0,265.0,0.0,169.0,116.0,550.0,28.0,True,26,1,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/clustering/grid_026_seed_2260008.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/matrices/ego_network/clustering/grid_026_seed_2260008.npz,0.0,0.0,0.9204303669967919,0.3746303910419036,5.831013916500995,503,0.9980119284294234,1.0,10000,0.0
True,6ec4fdaeaf5b40668d40d2661360d2c7,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/clustering/grid_085_seed_2850009.pkl,0.00013755678359732233,5667,1913716180,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,clustering,0.4973042392043906,2850009,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.4944556859571024,0.011615565570719112,0.9204303669967919,0.4944556859571024,49420.0,24436.0,0.0028485532472882213,0.9495177490960738,0.0,0.0,164.0,True,0.0,0.0,0.07275872937265121,0.0,,0.0,,attain,2850009,16.124756874982268,124.7076661310873,117.33744306274002,0.09642004773269691,0.09642004773269691,599,599,1.0,1,first_feasible,599.0,1414.0,0.011615565570719112,0.9204303669967919,0.4943343798491574,1414,out,weak,0,0,0,0,599,0,0,0,599,0,0,0,0,599,0,0,0,599,compress,12850009.0,94.09388816612773,0.013382688553972046,0.0101739354870305,0.3111020612072779,0.33851320748388497,1836.0,1561.0,0.8502178649237473,1.0,compress_no_improvement_patience,0.0,164.0,0.011615565570719112,0.9204995055239651,0.49431094763646655,150.0,out,weak,0.0,0.0,0.0,0.0,841.0,0.0,766.0,229.0,1836.0,0.0,0.0,0.0,0.0,579.0,0.0,753.0,229.0,1561.0,1250.0,True,85,2,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/clustering/grid_085_seed_2850009.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/matrices/ego_network/clustering/grid_085_seed_2850009.npz,0.0,0.0,0.9204303669967919,0.4944556859571024,5.831013916500995,503,0.9960238568588469,0.9976359338061466,10000,0.007952286282306162
True,a0b2145190ad451ab772dddc999a4732,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/density/grid_099_seed_990007.pkl,0.0005279574673382073,5617,775670065,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,density,0.017423348356078668,990007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.017421368205111958,0.017421368205111958,0.920430587649371,0.4216970387243736,73752.0,31101.0,1.9801509667100037e-06,0.006818956699625996,6.017261842633435e-09,7.355085969903048e-05,1466.0,True,0.005805802634392846,2.2065257909709146e-07,8.21399224193442e-08,2.2065257909709146e-07,8.21399224193442e-08,7.355085969903048e-05,2.4648182086453536e-05,attain,990007,9.339522000169381,1.0,0.8329720049289999,0.09732193891705083,0.09910762772575335,1394,1394,1.0,1,first_feasible,1394.0,1394.0,0.017132266163972343,0.9203447828976212,0.4216622749231445,1393,out,weak,1394,0,0,0,0,0,0,0,1394,1394,0,0,0,0,0,0,0,1394,compress,10990007.0,44.03882074984722,0.1267408376484387,0.10883666973443387,2.862964362505764,2.9991370329466385,1065.0,1054.0,0.9896713615023475,1.0,compress_no_improvement_patience,0.0,1466.0,0.01714018676783918,0.9203292261220111,0.4216831098974985,1395.0,out,weak,574.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,1065.0,563.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.0,-72.0,False,99,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/density/grid_099_seed_990007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/matrices/ego_network/density/grid_099_seed_990007.npz,,,0.920430587649371,0.4216970387243736,8.745526838966203,503,1.0,1.0,10000,0.0
True,f1d36ed2930743629a818d3420f3f623,ego_depletion,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/clustering/grid_023_seed_2230007.pkl,0.0008103203888446118,7295,2738306057,ego_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/ego_network.pkl,503,2933,clustering,0.36525771744562313,2230007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.011615565570719112,0.9204303669967919,0.42169695658445117,55464,23389,0.36823033100165864,0.011615565570719112,0.9204303669967919,0.36823033100165864,55468.0,20425.0,0.0029726135560355083,0.9908711853451694,0.0,0.0,72.0,True,0.0,0.0,-0.053466625582792526,0.0,,0.0,,attain,2230007,0.6974608751479536,6.611187997708237,6.611187997708237,0.00490964882372997,0.00490964882372997,18,18,1.0,1,first_feasible,18.0,72.0,0.011615565570719112,0.9204303669967919,0.36823033100165864,72,out,weak,0,0,0,0,18,0,0,0,18,0,0,0,0,18,0,0,0,18,compress,12230007.0,23.73659950005822,0.022941751806809064,0.021585894275026645,0.09529250137404864,0.10079285344680837,452.0,400.0,0.8849557522123894,1.0,compress_no_improvement_patience,0.0,72.0,0.011615565570719112,0.9203937642471121,0.36818403965649654,46.0,out,weak,0.0,0.0,0.0,0.0,240.0,0.0,153.0,59.0,452.0,0.0,0.0,0.0,0.0,191.0,0.0,150.0,59.0,400.0,0.0,False,23,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/saved_graphs/ego_network/clustering/grid_023_seed_2230007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v2/matrices/ego_network/clustering/grid_023_seed_2230007.npz,0.0,0.0,0.9204303669967919,0.36823033100165864,5.831013916500995,503,0.9980119284294234,1.0,10000,0.0
