randomized,unique_id,network_type,source_id,network_path,uncertainty,n_experiments,parameter_random_seed,sa_source_id,sa_source_path,sa_n,sa_m0,sa_target_stat,sa_target_value_requested,sa_seed,sa_degree_gini_mode,sa_connectivity_mode,sa_in_band_loss_mode,sa_target_in_band_loss_mode,sa_preserve_in_band_loss_mode,sa_feasible_preserve_weight,sa_feasible_selection_mode,sa_baseline_density,sa_baseline_degree_gini,sa_baseline_clustering,sa_baseline_triplets,sa_baseline_closed_triplets,sa_target_value_achieved,sa_achieved_density,sa_achieved_degree_gini,sa_achieved_clustering,sa_achieved_triplets,sa_achieved_closed_triplets,sa_target_error,sa_target_error_scaled,sa_preserve_center,sa_max_preserve_error_scaled,sa_edit_distance,sa_feasible,sa_delta_density,sa_delta_degree_gini,sa_delta_clustering,sa_preserve_error_degree_gini,sa_preserve_error_clustering,sa_preserve_error_scaled_degree_gini,sa_preserve_error_scaled_clustering,sa_attain_phase,sa_attain_seed,sa_attain_runtime_seconds,sa_attain_initial_temperature,sa_attain_final_temperature,sa_attain_best_energy,sa_attain_current_energy,sa_attain_n_proposals,sa_attain_n_accepted,sa_attain_acceptance_rate,sa_attain_found_feasible,sa_attain_stop_reason,sa_attain_first_feasible_accepted_step,sa_attain_best_feasible_edit_distance,sa_attain_best_overall_density,sa_attain_best_overall_degree_gini,sa_attain_best_overall_clustering,sa_attain_best_overall_edit_distance,sa_attain_degree_gini_mode,sa_attain_connectivity_mode,sa_attain_proposed_add_edge,sa_attain_proposed_delete_edge,sa_attain_proposed_source_rewire,sa_attain_proposed_target_rewire,sa_attain_proposed_double_edge_swap,sa_attain_proposed_density_repair,sa_attain_proposed_edge_repair,sa_attain_proposed_degree_preserving_repair,sa_attain_proposed_total,sa_attain_accepted_add_edge,sa_attain_accepted_delete_edge,sa_attain_accepted_source_rewire,sa_attain_accepted_target_rewire,sa_attain_accepted_double_edge_swap,sa_attain_accepted_density_repair,sa_attain_accepted_edge_repair,sa_attain_accepted_degree_preserving_repair,sa_attain_accepted_total,sa_compression_edit_improvement,sa_compression_improved_edit_distance,sa_grid_index,sa_seed_index,sa_saved_graph_path,sa_matrix_path,sa_compress_phase,sa_compress_seed,sa_compress_runtime_seconds,sa_compress_initial_temperature,sa_compress_final_temperature,sa_compress_best_energy,sa_compress_current_energy,sa_compress_n_proposals,sa_compress_n_accepted,sa_compress_acceptance_rate,sa_compress_found_feasible,sa_compress_stop_reason,sa_compress_first_feasible_accepted_step,sa_compress_best_feasible_edit_distance,sa_compress_best_overall_density,sa_compress_best_overall_degree_gini,sa_compress_best_overall_clustering,sa_compress_best_overall_edit_distance,sa_compress_degree_gini_mode,sa_compress_connectivity_mode,sa_compress_proposed_add_edge,sa_compress_proposed_delete_edge,sa_compress_proposed_source_rewire,sa_compress_proposed_target_rewire,sa_compress_proposed_double_edge_swap,sa_compress_proposed_density_repair,sa_compress_proposed_edge_repair,sa_compress_proposed_degree_preserving_repair,sa_compress_proposed_total,sa_compress_accepted_add_edge,sa_compress_accepted_delete_edge,sa_compress_accepted_source_rewire,sa_compress_accepted_target_rewire,sa_compress_accepted_double_edge_swap,sa_compress_accepted_density_repair,sa_compress_accepted_edge_repair,sa_compress_accepted_degree_preserving_repair,sa_compress_accepted_total,sa_compress_start_edit_distance,sa_compress_uncapped_best_feasible_edit_distance,sa_compress_edit_cap_applied,sa_preserve_error_density,sa_preserve_error_scaled_density,degree_gini_coefficient,approx_average_clustering_coefficient,average_degree,n_agents,share_of_correct_agents_at_convergence,share_of_core_agents_at_convergence,convergence_step,proportion_reached_by_truth
True,71eaa6cb080e41c4a98dd389250e6401,pud,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/clustering/grid_047_seed_2470007.pkl,0.0009194891321593471,1084,3522585055,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/pud_network.pkl,90,160,clustering,0.35622842347525896,2470007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.019975031210986267,0.7245833333333334,0.370253164556962,316,117,0.3580645161290323,0.019975031210986267,0.7245833333333334,0.3580645161290323,310.0,111.0,0.0018360926537733246,0.8182382133994971,0.0,0.0,2.0,True,0.0,0.0,-0.012188648427929716,0.0,,0.0,,attain,2470007,0.005063040880486369,402.47701677848454,402.47701677848454,0.005000000000000001,0.005000000000000001,1,1,1.0,1,first_feasible,1.0,4.0,0.019975031210986267,0.7245833333333334,0.3575949367088608,4,out,weak,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2.0,True,47,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/clustering/grid_047_seed_2470007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/matrices/pud_network/clustering/grid_047_seed_2470007.npz,compress,12470007.0,6.47568183299154,0.40052475029387546,0.3768537375515074,0.07500000000000001,0.44999999999999996,494.0,422.0,0.854251012145749,1.0,compress_no_improvement_patience,0.0,2.0,0.019975031210986267,0.7245833333333334,0.3580645161290323,2.0,out,weak,0.0,0.0,0.0,0.0,289.0,0.0,53.0,152.0,494.0,0.0,0.0,0.0,0.0,217.0,0.0,53.0,152.0,422.0,4.0,2.0,0.0,0.0,0.0,0.7245833333333334,0.3580645161290323,1.777777777777778,90,0.7111111111111111,0.9024390243902439,10000,0.6444444444444445
True,abf52e82a13f4f23a6a52d4ca8e0014e,pud,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/clustering/grid_088_seed_2880007.pkl,0.00012528619117137474,1432,1290510840,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/pud_network.pkl,90,160,clustering,0.58623417721519,2880007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.019975031210986267,0.7245833333333334,0.370253164556962,316,117,0.5855513307984791,0.019975031210986267,0.7245833333333334,0.5855513307984791,263.0,154.0,0.0006828464167109027,0.30430437749834593,0.0,0.0,34.0,True,0.0,0.0,0.2152981662415171,0.0,,0.0,,attain,2880007,0.9130700409878045,13573.864008050534,13573.864008050534,0.12,0.12,123,123,1.0,1,first_feasible,123.0,96.0,0.019975031210986267,0.7245833333333334,0.5855263157894737,96,out,weak,0,0,0,0,123,0,0,0,123,0,0,0,0,123,0,0,0,123,62.0,True,88,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/clustering/grid_088_seed_2880007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/matrices/pud_network/clustering/grid_088_seed_2880007.npz,compress,12880007.0,17.097145667066798,0.2628443673803574,0.23269422859082892,1.1698639456560938,1.6996220712669272,912.0,792.0,0.868421052631579,1.0,compress_no_improvement_patience,0.0,34.0,0.019975031210986267,0.7241666666666666,0.5846153846153846,30.0,out,weak,0.0,0.0,0.0,0.0,664.0,0.0,197.0,51.0,912.0,0.0,0.0,0.0,0.0,549.0,0.0,192.0,51.0,792.0,96.0,34.0,0.0,0.0,0.0,0.7245833333333334,0.5855513307984791,1.777777777777778,90,0.4777777777777778,0.6923076923076923,10000,0.4666666666666667
True,329e8993e92946a3af354551ceebc9a5,pud,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/density/grid_093_seed_930007.pkl,0.000930138078963883,5108,1401636732,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/pud_network.pkl,90,160,density,0.03226270192562328,930007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.019975031210986267,0.7245833333333334,0.370253164556962,316,117,0.03220973782771536,0.03220973782771536,0.7245478036175712,0.3702770780856423,397.0,147.0,5.296409790792045e-05,0.46875000000002054,5.894777742063667e-05,0.006385673574195859,98.0,True,0.01223470661672909,-3.552971576215036e-05,2.391352868030827e-05,3.552971576215036e-05,2.391352868030827e-05,0.006385673574195859,0.004262739779115465,attain,930007,0.3242818331345916,1.0,1.0,0.12412115081299674,0.12412115081299674,98,98,1.0,1,first_feasible,98.0,98.0,0.03220973782771536,0.7244616709732989,0.37017994858611825,98,out,weak,98,0,0,0,0,0,0,0,98,98,0,0,0,0,0,0,0,98,0.0,False,93,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/density/grid_093_seed_930007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/matrices/pud_network/density/grid_093_seed_930007.npz,compress,10930007.0,2.8590567079372704,8.507112326543956,8.004341988045207,3.6754715822193655,3.724357512640166,584.0,583.0,0.9982876712328768,1.0,compress_no_improvement_patience,0.0,98.0,0.03220973782771536,0.7245478036175712,0.3702770780856423,98.0,out,weak,292.0,290.0,0.0,0.0,0.0,0.0,2.0,0.0,584.0,291.0,290.0,0.0,0.0,0.0,0.0,2.0,0.0,583.0,98.0,98.0,0.0,,,0.7245478036175712,0.3702770780856423,2.8666666666666667,90,0.9444444444444444,1.0,10000,0.8666666666666667
True,35b8ff8c4308450c800b128d1518ac60,pud,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/clustering/grid_065_seed_2650007.pkl,0.0002635951365518234,6277,3660242352,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/pud_network.pkl,90,160,clustering,0.45720655926352133,2650007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.019975031210986267,0.7245833333333334,0.370253164556962,316,117,0.4570446735395189,0.019975031210986267,0.7245833333333334,0.4570446735395189,291.0,133.0,0.00016188572400244183,0.07214292008108819,0.0,0.0,10.0,True,0.0,0.0,0.08679150898255689,0.0,,0.0,,attain,2650007,0.08201195788569748,4673.292614139829,4673.292614139829,0.045000000000000005,0.045000000000000005,9,9,1.0,1,first_feasible,9.0,36.0,0.019975031210986267,0.7245833333333334,0.4583333333333333,36,out,weak,0,0,0,0,9,0,0,0,9,0,0,0,0,9,0,0,0,9,26.0,True,65,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/clustering/grid_065_seed_2650007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/matrices/pud_network/clustering/grid_065_seed_2650007.npz,compress,12650007.0,12.753636708017439,0.3532628297591978,0.3224134466248163,0.30498488285067715,0.574622071266927,729.0,615.0,0.8436213991769548,1.0,compress_no_improvement_patience,0.0,10.0,0.019975031210986267,0.7247222222222223,0.4555160142348754,8.0,out,weak,0.0,0.0,0.0,0.0,446.0,0.0,135.0,148.0,729.0,0.0,0.0,0.0,0.0,338.0,0.0,129.0,148.0,615.0,36.0,10.0,0.0,0.0,0.0,0.7245833333333334,0.4570446735395189,1.777777777777778,90,0.4777777777777778,0.725,10000,0.37777777777777777
True,f69d0559e81a43d28041de173fd65a55,pud,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/degree_gini/grid_027_seed_1270007.pkl,0.0007653836730281276,4252,3335518566,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/pud_network.pkl,90,160,degree_gini,0.5993939393939394,1270007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.019975031210986267,0.7245833333333334,0.370253164556962,316,117,0.6005555555555555,0.019975031210986267,0.6005555555555555,0.370242214532872,289.0,107.0,0.0011616161616161413,0.5219364599092193,3.809960403072454e-06,0.0019519119865077047,38.0,True,0.0,-0.12402777777777785,-1.095002409001733e-05,,1.095002409001733e-05,,0.0019519119865077047,attain,1270007,0.16322074993513525,1373.8518185378264,1373.8518185378264,0.18171164536754114,0.18171164536754114,23,23,1.0,1,first_feasible,23.0,40.0,0.019975031210986267,0.6004166666666666,0.3689655172413793,40,out,weak,0,0,23,0,0,0,0,0,23,0,0,23,0,0,0,0,0,23,2.0,True,27,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/degree_gini/grid_027_seed_1270007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/matrices/pud_network/degree_gini/grid_027_seed_1270007.npz,compress,11270007.0,3.8035520841367543,11.062753359719014,10.40894463615962,1.4250304796832245,1.9713481800927823,412.0,408.0,0.9902912621359223,1.0,compress_no_improvement_patience,0.0,38.0,0.019975031210986267,0.6005555555555555,0.370242214532872,38.0,out,weak,0.0,0.0,258.0,0.0,0.0,0.0,154.0,0.0,412.0,0.0,0.0,254.0,0.0,0.0,0.0,154.0,0.0,408.0,40.0,38.0,0.0,0.0,0.0,0.6005555555555555,0.370242214532872,1.777777777777778,90,0.8222222222222222,0.926829268292683,10000,0.7444444444444445
True,400912d74b8344159c627d6de8f559db,pud,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/density/grid_097_seed_970007.pkl,2.7332357139307313e-05,3063,345284415,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/pud_network.pkl,90,160,density,0.0333926026809922,970007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.019975031210986267,0.7245833333333334,0.370253164556962,316,117,0.03333333333333333,0.03333333333333333,0.7245526425301707,0.37028301886792453,424.0,157.0,5.9269347658867655e-05,0.5245535714286325,5.8746840998493843e-05,0.0055159870131959296,107.0,True,0.013358302122347065,-3.0690803162647384e-05,2.985431096252933e-05,3.0690803162647384e-05,2.985431096252933e-05,0.0055159870131959296,0.005321722302859075,attain,970007,0.2547870841808617,1.0,1.0,0.2319802186700949,0.2319802186700949,107,107,1.0,1,first_feasible,107.0,107.0,0.03333333333333333,0.7244694132334581,0.3713592233009709,107,out,weak,107,0,0,0,0,0,0,0,107,107,0,0,0,0,0,0,0,107,0.0,False,97,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/density/grid_097_seed_970007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/matrices/pud_network/density/grid_097_seed_970007.npz,compress,10970007.0,2.8171746670268476,6.319925970902211,5.946418346021889,4.012969974727987,4.016080238432042,559.0,557.0,0.9964221824686941,1.0,compress_no_improvement_patience,0.0,107.0,0.03333333333333333,0.7245526425301707,0.37028301886792453,107.0,out,weak,279.0,277.0,0.0,0.0,0.0,0.0,3.0,0.0,559.0,277.0,277.0,0.0,0.0,0.0,0.0,3.0,0.0,557.0,107.0,107.0,0.0,,,0.7245526425301707,0.37028301886792453,2.966666666666667,90,0.4666666666666667,0.45161290322580644,10000,0.8111111111111111
True,9516ea35f2ce4728b0f84f3c6ae38dc0,pud,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/clustering/grid_057_seed_2570007.pkl,0.0002768724372273725,9964,893390422,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/pud_network.pkl,90,160,clustering,0.4123273878020714,2570007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.019975031210986267,0.7245833333333334,0.370253164556962,316,117,0.4117647058823529,0.019975031210986267,0.7245833333333334,0.4117647058823529,323.0,133.0,0.0005626819197184774,0.25075414781300354,0.0,0.0,10.0,True,0.0,0.0,0.04151154132539092,0.0,,0.0,,attain,2570007,0.012143374886363745,2567.6562490518545,2567.6562490518545,0.015,0.015,3,3,1.0,1,first_feasible,3.0,12.0,0.019975031210986267,0.7245833333333334,0.410828025477707,12,out,weak,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,3,2.0,True,57,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/clustering/grid_057_seed_2570007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/matrices/pud_network/clustering/grid_057_seed_2570007.npz,compress,12570007.0,13.05958345811814,0.3784958890277126,0.3454429785265895,0.2449395314027083,0.5746220712668473,744.0,616.0,0.8279569892473119,1.0,compress_no_improvement_patience,0.0,10.0,0.019975031210986267,0.7243055555555555,0.4143302180685358,6.0,out,weak,0.0,0.0,0.0,0.0,445.0,0.0,114.0,185.0,744.0,0.0,0.0,0.0,0.0,320.0,0.0,111.0,185.0,616.0,12.0,10.0,0.0,0.0,0.0,0.7245833333333334,0.4117647058823529,1.777777777777778,90,0.7666666666666667,0.9230769230769231,10000,0.5777777777777777
True,a0f50afbce7446499543051f28192e32,pud,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/density/grid_092_seed_920007.pkl,0.0009419463989390251,9225,2852123984,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/pud_network.pkl,90,160,density,0.031980226736781046,920007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.019975031210986267,0.7245833333333334,0.370253164556962,316,117,0.031960049937578026,0.031960049937578026,0.7245659722222222,0.37027027027027026,370.0,137.0,2.0176799203019957e-05,0.1785714285714598,1.9033738553079783e-05,0.0031202723146852,96.0,True,0.011985018726591759,-1.7361111111169336e-05,1.710571330826305e-05,1.7361111111169336e-05,1.710571330826305e-05,0.0031202723146852,0.0030492030492062752,attain,920007,0.2931468328461051,1.0,1.0,0.23225294244093747,0.23225294244093747,96,96,1.0,1,first_feasible,96.0,96.0,0.031960049937578026,0.7234375,0.3699731903485255,96,out,weak,96,0,0,0,0,0,0,0,96,96,0,0,0,0,0,0,0,96,0.0,False,92,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/density/grid_092_seed_920007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/matrices/pud_network/density/grid_092_seed_920007.npz,compress,10920007.0,3.9809206249192357,11.921059924294253,10.553628638556846,3.600152269908424,3.6528825201646726,851.0,849.0,0.9976498237367802,1.0,compress_no_improvement_patience,0.0,96.0,0.031960049937578026,0.7245659722222222,0.37027027027027026,96.0,out,weak,425.0,422.0,0.0,0.0,0.0,1.0,3.0,0.0,851.0,423.0,422.0,0.0,0.0,0.0,1.0,3.0,0.0,849.0,96.0,96.0,0.0,,,0.7245659722222222,0.37027027027027026,2.8444444444444446,90,0.8666666666666667,1.0,10000,0.8555555555555555
True,9799162c0eb14bf0af8a16c29a5e181b,pud,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/density/grid_091_seed_910007.pkl,0.0005510253881835218,2320,4186496942,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/pud_network.pkl,90,160,density,0.031697751547938816,910007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.019975031210986267,0.7245833333333334,0.370253164556962,316,117,0.031585518102372034,0.031585518102372034,0.7250329380764164,0.36910994764397903,382.0,141.0,0.00011223344556678116,0.9933035714285915,0.04805830655012912,0.2037857430527591,93.0,True,0.011610486891385767,0.0004496047430830874,-0.0011432169129829695,0.0004496047430830874,0.0011432169129829695,0.08080641978558364,0.2037857430527591,attain,910007,0.19266254198737442,1.0,1.0,0.2363957663753228,0.2363957663753228,93,93,1.0,1,first_feasible,93.0,93.0,0.031585518102372034,0.7250329380764164,0.36910994764397903,93,out,weak,93,0,0,0,0,0,0,0,93,93,0,0,0,0,0,0,0,93,0.0,False,91,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/density/grid_091_seed_910007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/matrices/pud_network/density/grid_091_seed_910007.npz,compress,10910007.0,1.9908514169510454,8.472753339029016,7.9720136166924,3.4876734815047086,3.4952619465944847,413.0,411.0,0.9951573849878934,1.0,compress_no_improvement_patience,0.0,93.0,0.031585518102372034,0.7245937637241986,0.3702770780856423,93.0,out,weak,206.0,204.0,0.0,0.0,0.0,1.0,2.0,0.0,413.0,204.0,204.0,0.0,0.0,0.0,1.0,2.0,0.0,411.0,93.0,94.0,1.0,,,0.7250329380764164,0.36910994764397903,2.811111111111111,90,0.7777777777777778,0.8833333333333333,10000,0.6777777777777778
True,73c3513d69c9455db0c6d4b21484494a,pud,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/density/grid_032_seed_320007.pkl,0.00037997451227024867,4914,4043906028,pud_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/pud_network.pkl,90,160,density,0.015031715406247243,320007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.019975031210986267,0.7245833333333334,0.370253164556962,316,117,0.015106117353308364,0.015106117353308364,0.7268135904499542,0.3701657458563536,181.0,67.0,7.440194706112048e-05,0.6584821428571198,0.16091469137243364,0.40083894925046215,39.0,True,-0.004868913857677903,0.0022302571166208374,-8.74187006084104e-05,0.0022302571166208374,8.74187006084104e-05,0.40083894925046215,0.015582943759735107,attain,320007,0.19272516597993672,1.0,1.0,0.4510367284310841,0.4510367284310841,39,39,1.0,1,first_feasible,39.0,39.0,0.015106117353308364,0.7268135904499542,0.3701657458563536,39,out,weak,0,39,0,0,0,0,0,0,39,0,39,0,0,0,0,0,0,39,0.0,False,32,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/saved_graphs/pud_network/density/grid_032_seed_320007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v4/matrices/pud_network/density/grid_032_seed_320007.npz,compress,10320007.0,5.914615042041987,1.0,0.8852928099999999,1.4708329854629727,4.4097837688344335,865.0,517.0,0.5976878612716763,1.0,compress_no_improvement_patience,0.0,39.0,0.015106117353308364,0.7244260789715335,0.3701657458563536,39.0,out,weak,187.0,506.0,0.0,0.0,0.0,22.0,150.0,0.0,865.0,178.0,179.0,0.0,0.0,0.0,18.0,142.0,0.0,517.0,39.0,41.0,1.0,,,0.7268135904499542,0.3701657458563536,1.3444444444444443,90,0.7444444444444445,0.9310344827586207,10000,0.7
