randomized,unique_id,network_type,source_id,network_path,uncertainty,n_experiments,parameter_random_seed,sa_source_id,sa_source_path,sa_n,sa_m0,sa_target_stat,sa_target_value_requested,sa_seed,sa_degree_gini_mode,sa_connectivity_mode,sa_in_band_loss_mode,sa_target_in_band_loss_mode,sa_preserve_in_band_loss_mode,sa_feasible_preserve_weight,sa_feasible_selection_mode,sa_baseline_density,sa_baseline_degree_gini,sa_baseline_clustering,sa_baseline_triplets,sa_baseline_closed_triplets,sa_target_value_achieved,sa_achieved_density,sa_achieved_degree_gini,sa_achieved_clustering,sa_achieved_triplets,sa_achieved_closed_triplets,sa_target_error,sa_target_error_scaled,sa_preserve_center,sa_max_preserve_error_scaled,sa_edit_distance,sa_feasible,sa_delta_density,sa_delta_degree_gini,sa_delta_clustering,sa_preserve_error_degree_gini,sa_preserve_error_clustering,sa_preserve_error_scaled_degree_gini,sa_preserve_error_scaled_clustering,sa_attain_phase,sa_attain_seed,sa_attain_runtime_seconds,sa_attain_initial_temperature,sa_attain_final_temperature,sa_attain_best_energy,sa_attain_current_energy,sa_attain_n_proposals,sa_attain_n_accepted,sa_attain_acceptance_rate,sa_attain_found_feasible,sa_attain_stop_reason,sa_attain_first_feasible_accepted_step,sa_attain_best_feasible_edit_distance,sa_attain_best_overall_density,sa_attain_best_overall_degree_gini,sa_attain_best_overall_clustering,sa_attain_best_overall_edit_distance,sa_attain_degree_gini_mode,sa_attain_connectivity_mode,sa_attain_proposed_add_edge,sa_attain_proposed_delete_edge,sa_attain_proposed_source_rewire,sa_attain_proposed_target_rewire,sa_attain_proposed_double_edge_swap,sa_attain_proposed_density_repair,sa_attain_proposed_edge_repair,sa_attain_proposed_degree_preserving_repair,sa_attain_proposed_total,sa_attain_accepted_add_edge,sa_attain_accepted_delete_edge,sa_attain_accepted_source_rewire,sa_attain_accepted_target_rewire,sa_attain_accepted_double_edge_swap,sa_attain_accepted_density_repair,sa_attain_accepted_edge_repair,sa_attain_accepted_degree_preserving_repair,sa_attain_accepted_total,sa_compression_edit_improvement,sa_compression_improved_edit_distance,sa_grid_index,sa_seed_index,sa_saved_graph_path,sa_matrix_path,sa_compress_phase,sa_compress_seed,sa_compress_runtime_seconds,sa_compress_initial_temperature,sa_compress_final_temperature,sa_compress_best_energy,sa_compress_current_energy,sa_compress_n_proposals,sa_compress_n_accepted,sa_compress_acceptance_rate,sa_compress_found_feasible,sa_compress_stop_reason,sa_compress_first_feasible_accepted_step,sa_compress_best_feasible_edit_distance,sa_compress_best_overall_density,sa_compress_best_overall_degree_gini,sa_compress_best_overall_clustering,sa_compress_best_overall_edit_distance,sa_compress_degree_gini_mode,sa_compress_connectivity_mode,sa_compress_proposed_add_edge,sa_compress_proposed_delete_edge,sa_compress_proposed_source_rewire,sa_compress_proposed_target_rewire,sa_compress_proposed_double_edge_swap,sa_compress_proposed_density_repair,sa_compress_proposed_edge_repair,sa_compress_proposed_degree_preserving_repair,sa_compress_proposed_total,sa_compress_accepted_add_edge,sa_compress_accepted_delete_edge,sa_compress_accepted_source_rewire,sa_compress_accepted_target_rewire,sa_compress_accepted_double_edge_swap,sa_compress_accepted_density_repair,sa_compress_accepted_edge_repair,sa_compress_accepted_degree_preserving_repair,sa_compress_accepted_total,sa_compress_start_edit_distance,sa_compress_uncapped_best_feasible_edit_distance,sa_compress_edit_cap_applied,sa_preserve_error_density,sa_preserve_error_scaled_density,degree_gini_coefficient,approx_average_clustering_coefficient,average_degree,n_agents,share_of_correct_agents_at_convergence,share_of_core_agents_at_convergence,convergence_step,proportion_reached_by_truth
True,ef3b5224a6bc4b39ac0902dda1eca6fd,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/density/grid_030_seed_300007.pkl,0.0005260833365065907,1780,2467568687,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,density,0.010694131336432374,300007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.01077710495963091,0.01077710495963091,0.7615234171575378,0.2992286421190511,6871.0,2056.0,8.297362319853625e-05,0.993403463907934,0.004908823728487553,0.070057078345472,332.0,True,-0.003988850442137639,0.000210171235036416,4.129162743171655e-06,0.000210171235036416,4.129162743171655e-06,0.070057078345472,0.0009107701048848316,attain,300007,3.2500082498881966,1.0,0.97,0.06629972408932303,0.06629972408932303,332,332,1.0,1,first_feasible,332.0,332.0,0.01077710495963091,0.7615234171575378,0.2992286421190511,332,out,weak,0,332,0,0,0,0,0,0,332,0,332,0,0,0,0,0,0,332,0.0,False,30,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/density/grid_030_seed_300007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/tobacco_network/density/grid_030_seed_300007.npz,compress,10300007.0,5.033392125042155,1.723360960241145,1.6215103274908933,1.6276058519500827,1.6502870436642454,462.0,459.0,0.9935064935064936,1.0,compress_no_improvement_patience,0.0,332.0,0.010765090349865437,0.7612842931290162,0.29917018488863006,333.0,out,weak,156.0,165.0,0.0,0.0,0.0,29.0,112.0,0.0,462.0,156.0,162.0,0.0,0.0,0.0,29.0,112.0,0.0,459.0,332.0,340.0,1.0,,,0.7615234171575378,0.2992286421190511,3.1038062283737022,289,0.7197231833910035,0.8627450980392157,1000,0.8027681660899654
True,2d1810ce6440402c9958cd06b81710f7,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/clustering/grid_064_seed_2640007.pkl,0.0002393871852324949,8474,2564174879,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,clustering,0.3649632317118604,2640007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.3632525881998191,0.01476595540176855,0.7613132459225014,0.3632525881998191,9949.0,3614.0,0.00171064351204131,0.9432923014834367,0.0,0.0,74.0,True,0.0,0.0,0.06402807524351117,0.0,,0.0,,attain,2640007,1.447458416922018,475.753655750016,475.753655750016,0.051749389747762414,0.051749389747762414,90,90,1.0,1,first_feasible,90.0,318.0,0.01476595540176855,0.7613132459225014,0.3634123222748815,318,out,weak,0,0,0,0,90,0,0,0,90,0,0,0,0,90,0,0,0,90,244.0,True,64,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/clustering/grid_064_seed_2640007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/tobacco_network/clustering/grid_064_seed_2640007.npz,compress,12640007.0,75.8324060421437,0.046327204014714636,0.032143776611886936,0.35491559515729404,0.40299073024303633,2434.0,2025.0,0.8319638455217748,1.0,compress_no_improvement_patience,0.0,74.0,0.01476595540176855,0.7613751861726836,0.36337121593080557,72.0,out,weak,0.0,0.0,0.0,0.0,1387.0,0.0,696.0,351.0,2434.0,0.0,0.0,0.0,0.0,995.0,0.0,679.0,351.0,2025.0,318.0,74.0,0.0,0.0,0.0,0.7613132459225014,0.3632525881998191,4.252595155709343,289,0.8373702422145328,0.9615384615384616,1000,0.8442906574394463
True,a957fc7c53a94eba90b219f457ec3d61,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/density/grid_054_seed_540007.pkl,0.00044188552687966586,8837,4200065280,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,density,0.01570560710915382,540007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.015631007304882736,0.015631007304882736,0.7613254643087961,0.2991067317432544,10859.0,3248.0,7.459980427108534e-05,0.8931477391607675,0.0006914972217862669,0.0259790215204269,72.0,True,0.0008650519031141862,1.2218386294726713e-05,-0.00011778121305350275,1.2218386294726713e-05,0.00011778121305350275,0.004072795431575571,0.0259790215204269,attain,540007,0.2737753330729902,1.0,1.0,0.013445586016223194,0.013445586016223194,72,72,1.0,1,first_feasible,72.0,72.0,0.015631007304882736,0.7613254643087961,0.2991067317432544,72,out,weak,72,0,0,0,0,0,0,0,72,72,0,0,0,0,0,0,0,72,0.0,False,54,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/density/grid_054_seed_540007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/tobacco_network/density/grid_054_seed_540007.npz,compress,10540007.0,3.767655416857451,0.9723891651887896,0.914920965526132,0.35703726662701596,0.3917656635677799,515.0,515.0,1.0,1.0,compress_no_improvement_patience,0.0,72.0,0.015631007304882736,0.7613254643087961,0.2991067317432544,72.0,out,weak,256.0,249.0,0.0,0.0,0.0,0.0,10.0,0.0,515.0,256.0,249.0,0.0,0.0,0.0,0.0,10.0,0.0,515.0,72.0,78.0,1.0,,,0.7613254643087961,0.2991067317432544,4.501730103806228,289,0.903114186851211,0.9795918367346939,1000,0.903114186851211
True,4073d62380cb47c18a693f3856ad7000,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/density/grid_085_seed_850007.pkl,0.0006871405457351717,9627,1734991444,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,density,0.02217876331558569,850007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.022106881968473664,0.022106881968473664,0.7613622686926433,0.29916027747353047,13695.0,4097.0,7.188134711202596e-05,0.860600953155856,0.0004677702137430192,0.016340923380653294,611.0,True,0.0073409265667051145,4.902277014195988e-05,-6.423548277745272e-05,4.902277014195988e-05,6.423548277745272e-05,0.016340923380653294,0.014168430993255314,attain,850007,2.541231374954805,1.0,0.912673,0.09945429951810723,0.10059985677927212,611,611,1.0,1,first_feasible,611.0,611.0,0.02209486735870819,0.7613247006892192,0.2992039728328343,610,out,weak,611,0,0,0,0,0,0,0,611,611,0,0,0,0,0,0,0,611,0.0,False,85,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/density/grid_085_seed_850007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/tobacco_network/density/grid_085_seed_850007.npz,compress,10850007.0,5.244951666099951,0.4966450162442669,0.4672932957842307,2.986655099057381,3.0074357780522893,422.0,421.0,0.9976303317535545,1.0,compress_no_improvement_patience,0.0,611.0,0.022106881968473664,0.7613622686926433,0.29916027747353047,611.0,out,weak,214.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,213.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,611.0,616.0,1.0,,,0.7613622686926433,0.29916027747353047,6.366782006920415,289,0.9100346020761245,0.9793388429752066,1000,0.9100346020761245
True,851596ee927f403fa51965c111c6174d,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/clustering/grid_026_seed_2260007.pkl,0.0007499463373067258,6667,4175205339,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,clustering,0.19268245152489527,2260007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.19445978280876128,0.01476595540176855,0.7613132459225014,0.19445978280876128,10866.0,2113.0,0.0017773312838660071,0.9800656334620295,0.0,0.0,94.0,True,0.0,0.0,-0.10476473014754664,0.0,,0.0,,attain,2260007,0.5240051250439137,236.36144352589858,236.36144352589858,0.019853539462978034,0.019853539462978034,31,31,1.0,1,first_feasible,31.0,122.0,0.01476595540176855,0.7613132459225014,0.19404110880633604,122,out,weak,0,0,0,0,31,0,0,0,31,0,0,0,0,31,0,0,0,31,28.0,True,26,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/clustering/grid_026_seed_2260007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/tobacco_network/clustering/grid_026_seed_2260007.npz,compress,12260007.0,24.194680124986917,0.054233819451187,0.04801281041897399,0.42964575961406776,0.50784259907466,902.0,809.0,0.8968957871396895,1.0,compress_no_improvement_patience,0.0,94.0,0.01476595540176855,0.7613188768543362,0.19383873063004547,88.0,out,weak,0.0,0.0,0.0,0.0,515.0,0.0,369.0,18.0,902.0,0.0,0.0,0.0,0.0,428.0,0.0,363.0,18.0,809.0,122.0,94.0,0.0,0.0,0.0,0.7613132459225014,0.19445978280876128,4.252595155709343,289,0.9065743944636678,0.9946808510638298,1000,0.8961937716262975
True,8c16bf5768844a8aad9ddfa2056dafc5,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/clustering/grid_069_seed_2690007.pkl,0.0008027354482294473,2407,56141281,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,clustering,0.38763175542067163,2690007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.38607265535547,0.01476595540176855,0.7613132459225014,0.38607265535547,9607.0,3709.0,0.0015591000652016573,0.8597273940448746,0.0,0.0,136.0,True,0.0,0.0,0.08684814239916205,0.0,,0.0,,attain,2690007,2.2051311659161,627.4739749328686,627.4739749328686,0.07811228641171686,0.07811228641171686,142,142,1.0,1,first_feasible,142.0,480.0,0.01476595540176855,0.7613132459225014,0.38590667678300455,480,out,weak,0,0,0,0,142,0,0,0,142,0,0,0,0,142,0,0,0,142,344.0,True,69,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/clustering/grid_069_seed_2690007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/tobacco_network/clustering/grid_069_seed_2690007.npz,compress,12690007.0,29.644674374954775,0.035196642011177615,0.03115933410863948,0.5956343682389661,0.6340300205720791,907.0,783.0,0.8632855567805954,1.0,compress_no_improvement_patience,0.0,136.0,0.01476595540176855,0.7613076149906666,0.3858581619806966,122.0,out,weak,0.0,0.0,0.0,0.0,467.0,0.0,330.0,110.0,907.0,0.0,0.0,0.0,0.0,352.0,0.0,321.0,110.0,783.0,480.0,136.0,0.0,0.0,0.0,0.7613132459225014,0.38607265535547,4.252595155709343,289,0.8269896193771626,0.9661016949152542,1000,0.8477508650519031
True,f7c3047ec5da4472a34b9d508b9c178a,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/clustering/grid_046_seed_2460007.pkl,0.0003300062978088564,5926,2557910994,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,clustering,0.28335654636014007,2460007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.2843229954614221,0.01476595540176855,0.7613132459225014,0.2843229954614221,10576.0,3007.0,0.0009664491012820187,0.5329245927616153,0.0,0.0,8.0,True,0.0,0.0,-0.01490151749488583,0.0,,0.0,,attain,2460007,0.024207415990531445,35.90021763882224,35.90021763882224,0.0013018714401952809,0.0013018714401952809,2,2,1.0,1,first_feasible,2.0,8.0,0.01476595540176855,0.7613132459225014,0.2843229954614221,8,out,weak,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,2,0.0,False,46,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/clustering/grid_046_seed_2460007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/tobacco_network/clustering/grid_046_seed_2460007.npz,compress,12460007.0,11.65908099990338,0.054750332017388985,0.05151458739516129,0.029996716145011128,0.08927697154997513,496.0,400.0,0.8064516129032258,1.0,compress_no_improvement_patience,0.0,8.0,0.01476595540176855,0.7612850912633276,0.28510517339397384,6.0,out,weak,0.0,0.0,0.0,0.0,295.0,0.0,43.0,158.0,496.0,0.0,0.0,0.0,0.0,201.0,0.0,41.0,158.0,400.0,8.0,8.0,0.0,0.0,0.0,0.7613132459225014,0.2843229954614221,4.252595155709343,289,0.8754325259515571,0.9787234042553191,1000,0.903114186851211
True,c2511bac1c5b4f1e89ec83a40025f6ee,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/clustering/grid_042_seed_2420007.pkl,0.0007436970495158974,6429,4175635650,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,clustering,0.26522172739309113,2420007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.2669187145557656,0.01476595540176855,0.7613132459225014,0.2669187145557656,10580.0,2824.0,0.0016969871626744681,0.9357618434228101,0.0,0.0,20.0,True,0.0,0.0,-0.03230579840054232,0.0,,0.0,,attain,2420007,0.06379258399829268,47.96675676259784,47.96675676259784,0.003254678600488202,0.003254678600488202,5,5,1.0,1,first_feasible,5.0,20.0,0.01476595540176855,0.7613132459225014,0.2669187145557656,20,out,weak,0,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,5,0.0,False,42,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/clustering/grid_042_seed_2420007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/tobacco_network/clustering/grid_042_seed_2420007.npz,compress,12420007.0,13.454336624825373,0.05475033201738898,0.051514587395161286,0.0588378739554072,0.08889095879967306,473.0,400.0,0.8456659619450317,1.0,compress_no_improvement_patience,0.0,20.0,0.01476595540176855,0.7613301387180056,0.2668106686701728,12.0,out,weak,0.0,0.0,0.0,0.0,270.0,0.0,103.0,100.0,473.0,0.0,0.0,0.0,0.0,199.0,0.0,101.0,100.0,400.0,20.0,20.0,0.0,0.0,0.0,0.7613132459225014,0.2669187145557656,4.252595155709343,289,0.889273356401384,0.9946808510638298,1000,0.8685121107266436
True,e10334c35e4c43f78a7a541ca57aeea2,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/degree_gini/grid_043_seed_1430007.pkl,0.0007709309307465297,4934,3552054065,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,degree_gini,0.5821569875925261,1430007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.5845132481748743,0.01476595540176855,0.5845132481748743,0.29904306220095694,8778.0,2625.0,0.0023562605823481686,0.7894746872230884,0.0016018103461170289,0.040022622929001404,304.0,True,0.0,-0.1767999977476271,-0.00018145075535097588,,0.00018145075535097588,,0.040022622929001404,attain,1430007,2.2810719169210643,70.89028149014202,70.89028149014202,0.053475640592713244,0.053475640592713244,152,152,1.0,1,first_feasible,152.0,304.0,0.01476595540176855,0.5845132481748743,0.29904306220095694,304,out,weak,0,0,152,0,0,0,0,0,152,0,0,152,0,0,0,0,0,152,0.0,False,43,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/degree_gini/grid_043_seed_1430007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/tobacco_network/degree_gini/grid_043_seed_1430007.npz,compress,11430007.0,18.761293541174382,1.5271937620372784,1.3114532472981997,1.4841343511058875,1.6321267559121213,1010.0,1008.0,0.998019801980198,1.0,compress_no_improvement_patience,0.0,304.0,0.01476595540176855,0.5850538176310107,0.299226041429547,304.0,out,weak,0.0,0.0,723.0,0.0,0.0,0.0,287.0,0.0,1010.0,0.0,0.0,721.0,0.0,0.0,0.0,287.0,0.0,1008.0,304.0,330.0,1.0,0.0,0.0,0.5845132481748743,0.29904306220095694,4.252595155709343,289,0.8581314878892734,0.9946808510638298,1000,0.8442906574394463
True,8a42864f9c314ed8b3f2762b164963a5,tobacco,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/degree_gini/grid_033_seed_1330007.pkl,0.000837283902628412,4191,1490221865,tobacco_network,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/networks/citation_data/tobacco_network.pkl,289,1229,degree_gini,0.5075421639483343,1330007,out,weak,target_zero_preserve_exact,zero,exact,250.0,preserve_first,0.01476595540176855,0.7613132459225014,0.2992245129563079,10574,3164,0.5095373907951157,0.01476595540176855,0.5095373907951157,0.2970358427384348,8063.0,2395.0,0.0019952268467814394,0.6685088663801838,0.23305272762715507,0.4827553496618707,440.0,True,0.0,-0.25177585512738565,-0.002188670217873112,,0.002188670217873112,,0.4827553496618707,attain,1330007,3.443995959125459,232.08270558959225,225.12022442190448,0.654234748278628,0.654234748278628,220,220,1.0,1,first_feasible,220.0,440.0,0.01476595540176855,0.5095373907951157,0.2970358427384348,440,out,weak,0,0,220,0,0,0,0,0,220,0,0,220,0,0,0,0,0,220,0.0,False,33,0,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/saved_graphs/tobacco_network/degree_gini/grid_033_seed_1330007.pkl,/Users/Noich001/Desktop/network_inequality_current/e_network_inequality/sa_variation_outputs_directed_multi_v5/matrices/tobacco_network/degree_gini/grid_033_seed_1330007.npz,compress,11330007.0,14.621049500070512,4.116857503369126,3.8735512249200106,2.1482331527690186,2.3451136837640894,489.0,489.0,1.0,1.0,compress_no_improvement_patience,0.0,440.0,0.01476595540176855,0.5098133064550188,0.299243832899467,440.0,out,weak,0.0,0.0,356.0,0.0,0.0,0.0,133.0,0.0,489.0,0.0,0.0,356.0,0.0,0.0,0.0,133.0,0.0,489.0,440.0,448.0,1.0,0.0,0.0,0.5095373907951157,0.2970358427384348,4.252595155709343,289,0.9100346020761245,0.9946808510638298,1000,0.8996539792387543
