network,method,variant_index,n_runs,build_sec,run_sec,sec_per_run,total_steps,num_cores
ego,equalize,0,1000,0.003453493118286133,1.4133884906768799,0.0014133884906768798,102923,60
ego,equalize,1,1000,0.0024950504302978516,1.4421463012695312,0.0014421463012695313,103173,60
ego,equalize,2,1000,0.002384185791015625,1.382584571838379,0.0013825845718383788,103118,60
ego,equalize,3,1000,0.0048065185546875,1.3997306823730469,0.0013997306823730468,103156,60
ego,equalize,4,1000,0.002184629440307617,1.3767602443695068,0.001376760244369507,103060,60
ego,equalize,5,1000,0.0024390220642089844,1.4170851707458496,0.0014170851707458495,102909,60
ego,equalize,6,1000,0.0048329830169677734,1.3811841011047363,0.0013811841011047363,103070,60
ego,equalize,7,1000,0.0023224353790283203,1.3801696300506592,0.001380169630050659,102973,60
ego,equalize,8,1000,0.0021893978118896484,1.3868343830108643,0.0013868343830108643,103287,60
ego,equalize,9,1000,0.004900217056274414,1.4313719272613525,0.0014313719272613526,102986,60
ego,equalize,10,1000,0.002223968505859375,1.3883740901947021,0.0013883740901947021,103218,60
ego,equalize,11,1000,0.0024666786193847656,1.4873745441436768,0.0014873745441436768,103051,60
ego,equalize,12,1000,0.005285978317260742,1.3998687267303467,0.0013998687267303468,103276,60
ego,equalize,13,1000,0.0022437572479248047,1.3745994567871094,0.0013745994567871094,102841,60
ego,equalize,14,1000,0.002166271209716797,1.4007887840270996,0.0014007887840270996,103066,60
ego,equalize,15,1000,0.004946231842041016,1.3821947574615479,0.001382194757461548,103347,60
ego,equalize,16,1000,0.0022809505462646484,1.366899013519287,0.001366899013519287,103277,60
ego,equalize,17,1000,0.0021643638610839844,1.3872947692871094,0.0013872947692871093,103314,60
ego,equalize,18,1000,0.005571603775024414,1.354551076889038,0.0013545510768890382,103207,60
ego,equalize,19,1000,0.0023047924041748047,1.3548109531402588,0.0013548109531402587,102991,60
ego,equalize,20,1000,0.0021889209747314453,1.3848798274993896,0.0013848798274993896,103340,60
ego,equalize,21,1000,0.0052220821380615234,1.365910530090332,0.001365910530090332,102988,60
ego,equalize,22,1000,0.0024843215942382812,1.3704376220703125,0.0013704376220703125,103188,60
ego,equalize,23,1000,0.0022351741790771484,1.4112966060638428,0.0014112966060638428,102790,60
ego,equalize,24,1000,0.005758523941040039,1.45650053024292,0.00145650053024292,103167,60
ego,equalize,25,1000,0.002427339553833008,1.3831672668457031,0.0013831672668457031,103254,60
ego,equalize,26,1000,0.002243518829345703,1.3986494541168213,0.0013986494541168213,103297,60
ego,equalize,27,1000,0.005488872528076172,1.436323881149292,0.001436323881149292,103071,60
ego,equalize,28,1000,0.002380847930908203,1.3856520652770996,0.0013856520652770995,103369,60
ego,equalize,29,1000,0.0022306442260742188,1.433443546295166,0.001433443546295166,103020,60
ego,equalize,30,1000,0.005516529083251953,1.3865666389465332,0.0013865666389465332,103000,60
ego,equalize,31,1000,0.0023496150970458984,1.422084093093872,0.0014220840930938721,103342,60
ego,equalize,32,1000,0.0021979808807373047,1.4091928005218506,0.0014091928005218505,103095,60
ego,equalize,33,1000,0.005628347396850586,1.4211814403533936,0.0014211814403533936,102948,60
