network,method,variant_index,variation_seed,uncertainty,proportion_edges,done
pud,equalize,0,3955680683,0.1,0.000364057372896931,True
pud,equalize,1,3807228879,0.1,0.014705374903521008,True
pud,equalize,2,2942006816,0.1,0.012227549200999922,True
pud,equalize,3,3769709988,0.1,0.025675258031511883,True
pud,equalize,4,1525082002,0.1,0.023200527682975338,True
pud,equalize,5,1993658848,0.1,0.07310097626390144,True
pud,equalize,6,3855437783,0.1,0.01580363932991954,True
pud,equalize,7,4070088803,0.1,0.09398733803645637,True
pud,equalize,8,1565594213,0.1,0.05238769223609544,True
pud,equalize,9,3553190862,0.1,0.06869560081757985,True
pud,equalize,10,4101978516,0.1,0.0024566678634506457,True
pud,equalize,11,2910045741,0.1,0.03851345554925428,True
pud,equalize,12,2118286393,0.1,0.045500093015910015,True
pud,equalize,13,2614160893,0.1,0.08150135847911658,True
pud,equalize,14,791750079,0.1,0.03629980760011009,True
pud,equalize,15,94745954,0.1,0.062178149836617694,True
pud,equalize,16,3625957777,0.1,0.012411646814897703,True
pud,equalize,17,2343896891,0.1,0.0707856065272996,True
pud,equalize,18,1874613346,0.1,0.041958908373553476,True
pud,equalize,19,1517698112,0.1,0.03850384228987282,True
pud,equalize,20,3285581061,0.1,0.07877761886222073,True
pud,equalize,21,977684000,0.1,0.030747690916347072,True
pud,equalize,22,404483286,0.1,0.09624422093373527,True
pud,equalize,23,1542291584,0.1,0.04467135910081848,True
pud,equalize,24,686204428,0.1,0.08371473233420205,True
pud,equalize,25,316876389,0.1,0.06444623318378849,True
pud,equalize,26,561424990,0.1,0.09181134469361946,True
pud,equalize,27,959748757,0.1,0.09940057860196108,True
pud,equalize,28,3236099898,0.1,0.09930830467170884,True
pud,equalize,29,2665926247,0.1,0.05923231789820456,True
pud,equalize,30,2479365860,0.1,0.07808573893096576,True
pud,equalize,31,3405443250,0.1,0.05479322714506113,True
pud,equalize,32,184869245,0.1,0.08368228558086407,True
pud,equalize,33,4094819218,0.1,0.04554754845257221,True
pud,equalize,34,2109733993,0.1,0.08091689375718074,True
pud,equalize,35,1634251049,0.1,0.03294630991798177,True
pud,equalize,36,1021689106,0.1,0.03959405069353348,True
pud,equalize,37,3003433372,0.1,0.08405440558377075,True
pud,equalize,38,1805284975,0.1,0.08990231597697579,True
pud,equalize,39,674385495,0.1,0.05563403946852459,True
pud,equalize,40,3200347877,0.1,0.01412866336628007,True
pud,equalize,41,87727560,0.1,0.03711907431425151,True
pud,equalize,42,3297688573,0.1,0.05431378672581936,True
pud,equalize,43,1072705245,0.1,0.06179002183857522,True
pud,equalize,44,1041223649,0.1,0.041478686544504186,True
pud,equalize,45,3790014360,0.1,0.04416724350882226,True
pud,equalize,46,3552599534,0.1,0.06528832335203484,True
pud,equalize,47,2702112293,0.1,0.07107087716635416,True
pud,equalize,48,1989433546,0.1,0.059444177900313915,True
pud,equalize,49,1664608904,0.1,0.052332642326010995,True
pud,equalize,50,160050314,0.1,0.009885935988029948,True
pud,equalize,51,621350747,0.1,0.041947425647591276,True
pud,equalize,52,22926736,0.1,0.011641206675106909,True
pud,equalize,53,1388172847,0.1,0.016495225594700524,True
pud,equalize,54,2682941364,0.1,0.08657302069368279,True
pud,equalize,55,3128303135,0.1,0.061906269001797604,True
pud,equalize,56,2532835682,0.1,0.011249313181982846,True
pud,equalize,57,967231255,0.1,0.019457636690185888,True
pud,equalize,58,1238780233,0.1,0.03785500708883423,True
pud,equalize,59,2768469728,0.1,0.07218575211254588,True
pud,equalize,60,4099482085,0.1,0.07473314305858435,True
pud,equalize,61,178792487,0.1,0.012957159407396945,True
pud,equalize,62,4272847499,0.1,0.08167441188380088,True
pud,equalize,63,4235716316,0.1,0.07902689423042449,True
pud,equalize,64,4059499895,0.1,0.08061781139314839,True
pud,equalize,65,677513349,0.1,0.06105976631088355,True
pud,equalize,66,2412970920,0.1,0.06827486695997585,True
pud,equalize,67,3456451051,0.1,0.07325823661550034,True
pud,equalize,68,1179233963,0.1,0.002974426084207338,True
pud,equalize,69,3106034550,0.1,0.06712413017933147,True
pud,equalize,70,4085207842,0.1,0.01747976833568935,True
pud,equalize,71,2147318978,0.1,0.08422002958530038,True
pud,equalize,72,4053173267,0.1,0.014140950364153205,True
pud,equalize,73,3198153511,0.1,0.018404482529736754,True
pud,equalize,74,1232220710,0.1,0.09054119895693881,True
pud,equalize,75,1736690614,0.1,0.05015012404388158,True
pud,equalize,76,2653167366,0.1,0.03348775577965204,True
pud,equalize,77,3230220058,0.1,0.06633772159157118,True
pud,equalize,78,1575664160,0.1,0.07912612906686532,True
pud,equalize,79,3781394335,0.1,0.05144678376519536,True
pud,equalize,80,3411620308,0.1,0.0067557936727107755,True
pud,equalize,81,2381623788,0.1,0.08859362952867518,True
pud,equalize,82,3819588687,0.1,0.016011608764604123,True
pud,equalize,83,2422386051,0.1,0.0889645951829776,True
pud,equalize,84,2230594552,0.1,0.06948447184776167,True
pud,equalize,85,3379886218,0.1,0.03422780475409687,True
pud,equalize,86,2188889363,0.1,0.09942910188687348,True
pud,equalize,87,2347451359,0.1,0.05253837898183911,True
pud,equalize,88,366237918,0.1,0.09307078876156227,True
pud,equalize,89,1274103695,0.1,0.07863968876358643,True
pud,equalize,90,4284863303,0.1,0.042174792284439225,True
pud,equalize,91,940974384,0.1,0.05907516698875488,True
pud,equalize,92,1755249797,0.1,0.07029547832535386,True
pud,equalize,93,1683888828,0.1,0.05381124527610873,True
pud,equalize,94,2670052906,0.1,0.06638376823536454,True
pud,equalize,95,892793826,0.1,0.02925754187803299,True
pud,equalize,96,770044836,0.1,0.01444097713411553,True
pud,equalize,97,2037211575,0.1,0.09955266332132531,True
pud,equalize,98,4014823382,0.1,0.011834057760919215,True
pud,equalize,99,3287407540,0.1,0.07355054806094327,True
pud,equalize,100,3096488995,0.1,0.09917042365253007,True
pud,equalize,101,543034737,0.1,0.0327797420022027,True
pud,equalize,102,249308885,0.1,0.019543163491716833,True
pud,equalize,103,3141804677,0.1,0.01751982340195959,True
pud,equalize,104,609134902,0.1,0.02764162682075684,True
pud,equalize,105,2271686126,0.1,0.07303820945505923,True
pud,equalize,106,2920113131,0.1,0.08915097986154161,True
pud,equalize,107,581404170,0.1,0.003385037318863504,True
pud,equalize,108,593182045,0.1,0.04075786160299871,True
pud,equalize,109,1176326812,0.1,0.03395538514261977,True
pud,equalize,110,2972081295,0.1,0.05403169408402835,True
pud,equalize,111,2332013200,0.1,0.02885816662335742,True
pud,equalize,112,845249037,0.1,0.07718089691104703,True
pud,equalize,113,180361777,0.1,0.008011698058439654,True
pud,equalize,114,204026104,0.1,0.08204992970698541,True
pud,equalize,115,2251572727,0.1,0.02282148455172547,True
pud,equalize,116,127176437,0.1,0.074533628679185,True
pud,equalize,117,4002608589,0.1,0.017002679574845147,True
pud,equalize,118,381739186,0.1,0.062325214781954956,True
pud,equalize,119,566485487,0.1,0.08091694466943984,True
pud,equalize,120,657452567,0.1,0.07557808514675218,True
pud,equalize,121,1608531687,0.1,0.07769007339490851,True
pud,equalize,122,3205905432,0.1,0.008044399704167348,True
pud,equalize,123,3158595981,0.1,0.009506879875267715,True
pud,equalize,124,363317119,0.1,0.009153002311130243,True
pud,equalize,125,68958948,0.1,0.05599565262636133,True
pud,equalize,126,2543176451,0.1,0.07015476190446107,True
