network,method,variant_index,proportion_edges,uncertainty,n_experiments,n_agents,n_edges,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,variation_seed,mean_share_of_correct_agents_at_convergence,std_share_of_correct_agents_at_convergence,mean_convergence_step,std_convergence_step,mean_proportion_reached_by_truth,std_proportion_reached_by_truth,n_runs
ego,equalize,0,0.024753664912894602,0.1,1000,503,2933,5.831013916500994,0.9158767138051337,0.5936789222036565,446975571,0.9989980119284294,0.0014425654869042695,102.923,4.444189669874793,0.634,0.481950491519903,1000
ego,equalize,1,0.09966538584407461,0.1,1000,503,2933,5.831013916500994,0.9008722977511677,0.5928954921224856,4011797818,0.9990357852882704,0.0014229472619131768,103.173,4.007134653106646,0.646,0.4784484433174728,1000
ego,equalize,2,0.07038247335179725,0.1,1000,503,2933,5.831013916500994,0.9070540954748835,0.5856248042357998,118399924,0.9993260437375745,0.0009415640096466437,103.118,4.3406125048104585,0.661,0.4736066968522547,1000
ego,equalize,3,0.09988722398047664,0.1,1000,503,2933,5.831013916500994,0.9016070640595567,0.5934060571083978,685949805,0.9992226640159045,0.0009706134292423881,103.156,5.2789706886410634,0.609,0.48821855490892335,1000
ego,equalize,4,0.009482135513897384,0.1,1000,503,2933,5.831013916500994,0.9185988738554015,0.5953747931125108,3191022494,0.9989701789264414,0.0014338892243521417,103.06,4.770236383572112,0.617,0.4863615399551528,1000
ego,equalize,5,0.07370030872844154,0.1,1000,503,2933,5.831013916500994,0.9027851303362912,0.5800215594790616,1626204154,0.9992823061630218,0.0009553297467172272,102.909,3.5865836923990178,0.639,0.48053086259876177,1000
ego,equalize,6,0.03986333025993441,0.1,1000,503,2933,5.831013916500994,0.9134460200949096,0.5940132258297943,3491553951,0.9989920477137177,0.0014342685639641218,103.07,4.993599506972502,0.628,0.48358024137659916,1000
ego,equalize,7,0.03137595732117659,0.1,1000,503,2933,5.831013916500994,0.9127288773326627,0.5934860027592157,1700011233,0.9990099403578528,0.0014232544646904128,102.973,3.955238920079911,0.633,0.48222768848702924,1000
ego,equalize,8,0.029367920326065847,0.1,1000,503,2933,5.831013916500994,0.9153913884575262,0.5929824987186427,948520072,0.9990596421471173,0.0014305674405274166,103.287,5.779622395540649,0.661,0.47360669685225426,1000
ego,equalize,9,0.0007113996995768868,0.1,1000,503,2933,5.831013916500994,0.9204127434506496,0.5937213818659646,2447861014,0.9990238568588469,0.0014063683764090596,102.986,4.531924794427015,0.634,0.481950491519903,1000
ego,equalize,10,0.04804549100661977,0.1,1000,503,2933,5.831013916500994,0.9104649294820913,0.5945091402733814,1797218037,0.9990437375745527,0.0014199746729864596,103.218,5.269368296318095,0.649,0.47752175555363646,1000
ego,equalize,11,0.060179272707028365,0.1,1000,503,2933,5.831013916500994,0.907802418357228,0.5922830560538588,900853157,0.9992604373757454,0.0009613921299733614,103.051,4.6244767038860495,0.628,0.4835802413765988,1000
ego,equalize,12,0.04596754394253392,0.1,1000,503,2933,5.831013916500994,0.9103374976869095,0.5938873025592325,664890823,0.9982803180914512,0.001695700939270961,103.276,6.284689437141772,0.6373777335984095,0.4785689171590995,1000
ego,equalize,13,0.012024736876943732,0.1,1000,503,2933,5.831013916500994,0.9173855604863828,0.5933131355614849,3986632201,0.9990218687872763,0.0014314867089470452,102.841,3.510276490682897,0.642,0.47965202602101664,1000
ego,equalize,14,0.0449045493998364,0.1,1000,503,2933,5.831013916500994,0.9129308702846,0.5930035490413353,1637014346,0.9990039761431412,0.0014148946358962253,103.066,5.170529796682192,0.627,0.4838440917331792,1000
