network,method,variant_index,n_runs,build_sec,run_sec,sec_per_run,total_steps,num_cores
ego,equalize,0,1000,0.002339601516723633,9.274150133132935,0.009274150133132935,1685399,60
ego,equalize,1,1000,0.0017368793487548828,9.353178024291992,0.009353178024291992,1702866,60
ego,equalize,2,1000,0.0019669532775878906,9.816018104553223,0.009816018104553223,1758946,60
ego,equalize,3,1000,0.002013683319091797,9.211125373840332,0.009211125373840333,1700742,60
ego,equalize,4,1000,0.001730203628540039,9.552634477615356,0.009552634477615356,1767964,60
ego,equalize,5,1000,0.001924753189086914,9.681798458099365,0.009681798458099366,1774999,60
ego,equalize,6,1000,0.0024733543395996094,9.317525863647461,0.009317525863647461,1699369,60
ego,equalize,7,1000,0.0017693042755126953,9.674406051635742,0.009674406051635743,1727300,60
ego,equalize,8,1000,0.0018000602722167969,8.893424272537231,0.008893424272537231,1700829,60
ego,equalize,9,1000,0.002318143844604492,8.97211480140686,0.00897211480140686,1751867,60
ego,equalize,10,1000,0.0023331642150878906,8.480502128601074,0.008480502128601073,1660168,60
ego,equalize,11,1000,0.0021076202392578125,8.888017654418945,0.008888017654418946,1729323,60
ego,equalize,12,1000,0.002423524856567383,9.11905837059021,0.00911905837059021,1727379,60
ego,equalize,13,1000,0.0023992061614990234,9.091299295425415,0.009091299295425416,1727692,60
ego,equalize,14,1000,0.0020728111267089844,9.030296325683594,0.009030296325683593,1716769,60
ego,equalize,15,1000,0.0024652481079101562,8.832161903381348,0.008832161903381347,1718694,60
ego,equalize,16,1000,0.002286672592163086,8.74220609664917,0.00874220609664917,1704384,60
ego,equalize,17,1000,0.0021386146545410156,9.050122737884521,0.009050122737884522,1752525,60
ego,equalize,18,1000,0.0024940967559814453,9.263371706008911,0.00926337170600891,1738272,60
ego,equalize,19,1000,0.002276897430419922,9.021759033203125,0.009021759033203125,1752045,60
ego,equalize,20,1000,0.0020368099212646484,8.93415117263794,0.00893415117263794,1726887,60
ego,equalize,21,1000,0.0025157928466796875,9.001583814620972,0.009001583814620972,1748617,60
ego,equalize,22,1000,0.002222776412963867,8.879669189453125,0.008879669189453125,1702413,60
ego,equalize,23,1000,0.0020341873168945312,8.620914936065674,0.008620914936065673,1679558,60
ego,equalize,24,1000,0.002397298812866211,8.621607065200806,0.008621607065200806,1671434,60
ego,equalize,25,1000,0.002166271209716797,8.977398157119751,0.00897739815711975,1737700,60
ego,equalize,26,1000,0.002101898193359375,8.719329595565796,0.008719329595565796,1732680,60
ego,equalize,27,1000,0.002410888671875,8.568530797958374,0.008568530797958374,1658108,60
ego,equalize,28,1000,0.0021126270294189453,9.009297132492065,0.009009297132492065,1718691,60
ego,equalize,29,1000,0.0020303726196289062,9.062997579574585,0.009062997579574584,1746370,60
