network,method,variant_index,proportion_edges,uncertainty,n_experiments,n_agents,n_edges,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,variation_seed,mean_share_of_correct_agents_at_convergence,std_share_of_correct_agents_at_convergence,mean_convergence_step,std_convergence_step,mean_proportion_reached_by_truth,std_proportion_reached_by_truth,n_runs
ego,equalize,0,0.0019071979573001552,0.001,1000,503,2933,5.831013916500994,0.9199409746769976,0.5991812256632132,978796114,0.9955029821073558,0.0035577920039112864,1685.399,658.8205266119792,0.506,0.5002141683461337,1000
ego,equalize,1,0.018811858939856364,0.001,1000,503,2933,5.831013916500994,0.9155784691781125,0.5938526491048376,1094106742,0.9957892644135188,0.0031387416622641992,1702.866,627.5708607234957,0.518,0.49992592043814477,1000
ego,equalize,2,0.04775948863229799,0.001,1000,503,2933,5.831013916500994,0.9108282456640993,0.569673754780446,3090529957,0.9956222664015905,0.0035765581233865055,1758.946,627.4308540074841,0.512,0.5001060948499888,1000
ego,equalize,3,0.05557093773035779,0.001,1000,503,2933,5.831013916500994,0.9084910923141681,0.5937473201807546,2328437859,0.9947833001988072,0.0035013353700894465,1700.742,590.7917520838713,0.5234353876739563,0.4982275365374962,1000
ego,equalize,4,0.08712042471114906,0.001,1000,503,2933,5.831013916500994,0.8992604211078569,0.5929806621019195,2075516646,0.9955149105367793,0.0033933635202796895,1767.964,582.7718711106066,0.493,0.5002011607355599,1000
ego,equalize,5,0.09877434839614252,0.001,1000,503,2933,5.831013916500994,0.9012451035349444,0.5835522334419865,1617251897,0.9973320079522863,0.0030407587982224727,1774.999,641.2468983032848,0.0,0.0,1000
ego,equalize,6,0.05235556536034874,0.001,1000,503,2933,5.831013916500994,0.9120130902278115,0.5932589327857394,3441559176,0.995544731610338,0.0036454322920087563,1699.369,625.4600507739198,0.516,0.4999939939579215,1000
ego,equalize,7,0.058177248313495515,0.001,1000,503,2933,5.831013916500994,0.9081698015114225,0.5932372191881522,1724576930,0.9954791252485089,0.0035929630420997623,1727.3,603.2338178841093,0.528,0.49946517943242585,1000
ego,equalize,8,0.05337886559382792,0.001,1000,503,2933,5.831013916500994,0.9119642865615716,0.5915864163148278,2684124321,0.9964174950298211,0.0029933935290637433,1700.829,602.3976865258792,0.524,0.4996735671152453,1000
ego,equalize,9,0.06022776128182192,0.001,1000,503,2933,5.831013916500994,0.9059288998365754,0.5839731394793336,3252190406,0.9974831013916501,0.002759892460895164,1751.867,609.9158324175834,0.0,0.0,1000
ego,equalize,10,0.012349343641412458,0.001,1000,503,2933,5.831013916500994,0.917155098729139,0.5925453014226599,1682535644,0.9955347912524851,0.003507465711086458,1660.168,624.5610749256732,0.501,0.500249187155011,1000
ego,equalize,11,0.028163900320735704,0.001,1000,503,2933,5.831013916500994,0.9152598896901577,0.5931589299877988,190411064,0.9956202783300199,0.0033929711660564406,1729.323,646.395497981546,0.5,0.5002501876563866,1000
ego,equalize,12,0.0038350074156744854,0.001,1000,503,2933,5.831013916500994,0.9196101942724831,0.5928597675451555,334097740,0.9956182902584493,0.04175013714359781,1727.379,637.4752827326682,0.0,0.0,1000
ego,equalize,13,0.044920487411644144,0.001,1000,503,2933,5.831013916500994,0.9117772058409855,0.5934263542158363,555513782,0.9975288270377733,0.0031336166955574208,1727.692,647.8221875813789,0.0,0.0,1000
ego,equalize,14,0.02517622187562331,0.001,1000,503,2933,5.831013916500994,0.91482336800879,0.593968562328514,3795615724,0.9956898608349901,0.003494068937491285,1716.769,663.7057397280428,0.547,0.49803517851557344,1000
ego,equalize,15,0.0640234052821597,0.001,1000,503,2933,5.831013916500994,0.9096881377944402,0.5934650662490794,4271952221,0.9962922465208748,0.03046784646339654,1718.694,656.4779201341227,0.0,0.0,1000
ego,equalize,16,0.039979644153700346,0.001,1000,503,2933,5.831013916500994,0.913260295031719,0.5936223898685287,4121827066,0.996300198807157,0.0032353244954003535,1704.384,637.0711185999206,0.0019999999999999996,0.001989030548993904,1000
