network,method,variant_index,proportion_edges,uncertainty,n_experiments,n_agents,n_edges,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,variation_seed,mean_share_of_correct_agents_at_convergence,std_share_of_correct_agents_at_convergence,mean_convergence_step,std_convergence_step,mean_proportion_reached_by_truth,std_proportion_reached_by_truth,n_runs
tobacco,equalize,0,0.05391186986750212,0.001,1000,289,1229,4.252595155709343,0.7372860597836034,0.2388011143391644,3196016159,0.9053771626297578,0.016823130124518436,1536.923,437.4542642429083,0.90021107266436,0.014799568208934197,1000
tobacco,equalize,1,0.0819353538364963,0.001,1000,289,1229,4.252595155709343,0.7281864739386398,0.23518753689617303,4065367510,0.9059100346020762,0.018037046464927663,1558.346,455.97193410196724,0.9058339100346021,0.018064623355168806,1000
tobacco,equalize,2,0.013100069907407164,0.001,1000,289,1229,4.252595155709343,0.7554458149506871,0.23453944991193496,3237409484,0.873719723183391,0.021430486078668518,1460.362,410.7788848617321,0.8689965397923876,0.02237344882061736,1000
tobacco,equalize,3,0.06348581516075462,0.001,1000,289,1229,4.252595155709343,0.7370382987828741,0.23544327780698265,996459400,0.903076124567474,0.01794569778720727,1546.983,438.4491925017144,0.8956055363321799,0.016626356335816515,1000
tobacco,equalize,4,0.05338757035824733,0.001,1000,289,1229,4.252595155709343,0.7407884993848206,0.23522634632239364,4205326359,0.8870519031141869,0.020949690467565448,1478.683,427.3807422074724,0.8830173010380623,0.022166992046872905,1000
tobacco,equalize,5,0.0002416874637479638,0.001,1000,289,1229,4.252595155709343,0.7613132459225015,0.23497312210774274,2491473798,0.8732525951557094,0.021754947072179783,1439.692,415.29416608035837,0.8683114186851211,0.02283637205331169,1000
tobacco,equalize,6,0.06491571749191777,0.001,1000,289,1229,4.252595155709343,0.7298701225572315,0.23855729649165883,792683250,0.8979550173010381,0.018426467246701172,1504.522,418.059293748015,0.897204152249135,0.018731213187670223,1000
tobacco,equalize,7,0.037900866120385596,0.001,1000,289,1229,4.252595155709343,0.7474893082681787,0.23515302345589267,693867724,0.884878892733564,0.021704756348692556,1500.515,430.47722636327387,0.8777162629757785,0.02386237995298972,1000
tobacco,equalize,8,0.08149696452582961,0.001,1000,289,1229,4.252595155709343,0.7378435220352441,0.23586552132227903,1419246444,0.8952560553633219,0.017818583294476685,1520.429,416.68745048344135,0.8934186851211072,0.018673557847113855,1000
tobacco,equalize,9,0.0061189029856263625,0.001,1000,289,1229,4.252595155709343,0.7563523949760825,0.2345371650818917,1947820451,0.8761453287197233,0.021860593118960953,1462.908,430.46384361135,0.8715328719723184,0.023441410278162482,1000
tobacco,equalize,10,0.0984667192568889,0.001,1000,289,1229,4.252595155709343,0.7191544592756932,0.236311695001914,4082739996,0.9183702422145328,0.015012892829452505,1561.875,427.79295013263487,0.9209584775086505,0.014478336818451171,1000
tobacco,equalize,11,0.04354893349986347,0.001,1000,289,1229,4.252595155709343,0.7409067489533505,0.24065263726868616,3663658446,0.892121107266436,0.019626987180737954,1497.027,418.16117351810436,0.8803494809688582,0.020223698069664963,1000
tobacco,equalize,12,0.05944637062399952,0.001,1000,289,1229,4.252595155709343,0.7460534206503163,0.23574680425800829,2852146384,0.9038304498269896,0.017382985299538623,1521.777,423.2678241042209,0.9042110726643598,0.01759554506153451,1000
