network,method,variant_index,variation_seed,uncertainty,proportion_edges,done
pud,equalize,0,2165121741,0.01,0.043795740118136764,True
pud,equalize,1,2310751638,0.01,0.07624213143661505,True
pud,equalize,2,3085228320,0.01,0.04168359519479257,True
pud,equalize,3,2949479497,0.01,0.0480166726647459,True
pud,equalize,4,1916305338,0.01,0.07424179302164487,True
pud,equalize,5,200782245,0.01,0.02185084930547141,True
pud,equalize,6,1169229093,0.01,0.05868918171506367,True
pud,equalize,7,1591561783,0.01,0.08611794191088161,True
pud,equalize,8,163812862,0.01,0.03202170247104983,True
pud,equalize,9,934026429,0.01,0.07583859219906218,True
pud,equalize,10,1171932564,0.01,0.02736782715900862,True
pud,equalize,11,1042885312,0.01,0.07871780393041763,True
pud,equalize,12,949488958,0.01,0.03164043332567356,True
pud,equalize,13,1119995530,0.01,0.050013365733546755,True
pud,equalize,14,1668990636,0.01,0.07694251793697575,True
pud,equalize,15,299095942,0.01,0.011365548223606237,True
pud,equalize,16,2401903328,0.01,0.035500501039381384,True
pud,equalize,17,3586708698,0.01,0.04931958704838886,True
pud,equalize,18,4128482750,0.01,0.017426687443285637,True
pud,equalize,19,39555487,0.01,0.09766506954780713,True
pud,equalize,20,2687372836,0.01,0.008064263684033767,True
pud,equalize,21,1852543374,0.01,0.04527514885882357,True
pud,equalize,22,1836724095,0.01,0.010680458343552147,True
pud,equalize,23,1544597056,0.01,0.03953371755921749,True
pud,equalize,24,1494024542,0.01,0.0783218656768598,True
pud,equalize,25,1771381208,0.01,0.038730223830223835,True
pud,equalize,26,2154348620,0.01,0.07050553805938468,True
pud,equalize,27,2294329873,0.01,0.01310047813862053,True
pud,equalize,28,2874522447,0.01,0.021076815304698206,True
pud,equalize,29,2244632231,0.01,0.02343727854543125,True
pud,equalize,30,2956193963,0.01,0.07001632826495267,True
pud,equalize,31,2781081473,0.01,0.06810474906145447,True
pud,equalize,32,3868866406,0.01,0.0009933416370165094,True
pud,equalize,33,1834701308,0.01,0.03826770104574861,True
pud,equalize,34,3033232520,0.01,0.08506004685898216,True
pud,equalize,35,2590237456,0.01,0.029125482712744424,True
pud,equalize,36,377977215,0.01,0.0881390534744841,True
pud,equalize,37,10158428,0.01,0.06042176525571798,True
pud,equalize,38,1178952000,0.01,0.036511263357557236,True
pud,equalize,39,293127135,0.01,0.0790146770645856,True
pud,equalize,40,1882698340,0.01,0.04668329238639897,True
pud,equalize,41,996854849,0.01,0.06482635045800227,True
pud,equalize,42,2777766750,0.01,0.04914721042228742,True
pud,equalize,43,1795001797,0.01,0.04833586623438172,True
pud,equalize,44,6602526,0.01,0.02144491660259064,True
pud,equalize,45,2620936161,0.01,0.0461043896480708,True
pud,equalize,46,1646630645,0.01,0.09516343615835629,True
pud,equalize,47,559690909,0.01,0.05103194382544185,True
pud,equalize,48,2792286252,0.01,0.02772948474065814,True
pud,equalize,49,770508637,0.01,0.06203605443671313,True
pud,equalize,50,2703547659,0.01,0.04267174957850879,True
pud,equalize,51,2676346209,0.01,0.008773235754044718,True
pud,equalize,52,202125728,0.01,0.02579661737687644,True
pud,equalize,53,2305760507,0.01,0.013882467529500498,True
pud,equalize,54,3504290690,0.01,0.07930995224099661,True
pud,equalize,55,432385439,0.01,0.048975417813984984,True
pud,equalize,56,1624510622,0.01,0.08065883534632208,True
pud,equalize,57,3048766697,0.01,0.05607539119659415,True
pud,equalize,58,2853036669,0.01,0.06142066713562364,True
pud,equalize,59,1207740513,0.01,0.06934345737565661,True
pud,equalize,60,3577885116,0.01,0.06431748231893769,True
pud,equalize,61,128540056,0.01,0.08471642423796866,True
pud,equalize,62,4067591118,0.01,0.002033666436873416,True
pud,equalize,63,182441188,0.01,0.04748503410188846,True
pud,equalize,64,3034727726,0.01,0.008849743946813315,True
pud,equalize,65,388561845,0.01,0.0838352749445539,True
pud,equalize,66,3863564597,0.01,0.02133874647753241,True
pud,equalize,67,3575763180,0.01,0.038258656248791614,True
pud,equalize,68,4252255157,0.01,0.03570346038032655,True
pud,equalize,69,3379806496,0.01,0.07065697221646848,True
pud,equalize,70,369228705,0.01,0.07773300208262394,True
pud,equalize,71,3140842028,0.01,0.06312844858489759,True
pud,equalize,72,2218270679,0.01,0.08506089473399754,True
pud,equalize,73,911746778,0.01,0.0006904269750452441,True
pud,equalize,74,3025155008,0.01,0.0665401925161063,True
pud,equalize,75,1672642058,0.01,0.04261906667370849,True
pud,equalize,76,774046791,0.01,0.0016777418536975009,True
pud,equalize,77,2291966294,0.01,0.07022422381334921,True
pud,equalize,78,349176422,0.01,0.02283763255619614,True
pud,equalize,79,2612965351,0.01,0.087238889348561,True
pud,equalize,80,3375946963,0.01,0.016922940302648928,True
pud,equalize,81,3203021923,0.01,0.048493877430279775,True
pud,equalize,82,745369807,0.01,0.0523767927499115,True
pud,equalize,83,1381068747,0.01,0.060516422141562234,True
pud,equalize,84,242384604,0.01,0.08947674271669379,True
pud,equalize,85,1474175741,0.01,0.07793726443053023,True
pud,equalize,86,579264612,0.01,0.009093113156119525,True
pud,equalize,87,4039068953,0.01,0.07231861202793073,True
pud,equalize,88,1674494768,0.01,0.09170279266783775,True
pud,equalize,89,238738950,0.01,0.0001231048478583796,True
pud,equalize,90,3153733636,0.01,0.034147245373025305,True
pud,equalize,91,2971841504,0.01,0.02529881009169014,True
pud,equalize,92,2791015373,0.01,0.033233896354085746,True
pud,equalize,93,1554233809,0.01,0.04318953597938553,True
pud,equalize,94,2124939685,0.01,0.06886243483420522,True
pud,equalize,95,3910792477,0.01,0.09249373662123461,True
pud,equalize,96,912789016,0.01,0.010657058423038535,True
pud,equalize,97,2924549499,0.01,0.0658937911188228,True
pud,equalize,98,3070433051,0.01,0.01139436647435701,True
pud,equalize,99,4279769118,0.01,0.0668209047752704,True
pud,equalize,100,3895676852,0.01,0.01786202097723656,True
pud,equalize,101,3412394017,0.01,0.0945650971603803,True
pud,equalize,102,1838732882,0.01,0.09417827647396962,True
pud,equalize,103,2175962419,0.01,0.0020192981939240796,True
pud,equalize,104,1518373434,0.01,0.0835880318571347,True
pud,equalize,105,1575717635,0.01,0.040939568211737526,True
pud,equalize,106,906318132,0.01,0.08256058688717727,True
pud,equalize,107,226394537,0.01,0.02587215082192326,True
pud,equalize,108,1397988628,0.01,0.0013596824120989837,True
pud,equalize,109,48801056,0.01,0.04883160755848979,True
pud,equalize,110,2540129109,0.01,0.010929325862753081,True
pud,equalize,111,551297206,0.01,0.010054542779734776,True
pud,equalize,112,2576745758,0.01,0.04915211693375872,True
pud,equalize,113,3699662757,0.01,0.08031446953035587,True
pud,equalize,114,322105557,0.01,0.0842051595528626,True
pud,equalize,115,4177202439,0.01,0.02130852807021254,True
pud,equalize,116,1868298294,0.01,0.01827603645988294,True
pud,equalize,117,674810870,0.01,0.08846451314986242,True
pud,equalize,118,2784827547,0.01,0.0659773051586708,True
pud,equalize,119,3205399637,0.01,0.016744527709646618,True
pud,equalize,120,4053523699,0.01,0.06989549918673485,True
pud,equalize,121,3493769797,0.01,0.05094302806432974,True
pud,equalize,122,3052176610,0.01,0.0073490752124574345,True
pud,equalize,123,2192118267,0.01,0.07718512313615952,True
pud,equalize,124,4170684501,0.01,0.03165437316193016,True
pud,equalize,125,1718221201,0.01,0.031408424204735434,True
pud,equalize,126,3678194060,0.01,0.07203673299201427,True
pud,equalize,127,2657572168,0.01,0.0982915695047555,True
pud,equalize,128,411734496,0.01,0.0175403194783351,True
pud,equalize,129,3446660643,0.01,0.07824347060619218,True
pud,equalize,130,2647977642,0.01,0.012071321564287963,True
pud,equalize,131,3460748845,0.01,0.020517684990278964,True
pud,equalize,132,2133416863,0.01,0.09100532053433597,True
pud,equalize,133,1315569740,0.01,0.06107966796918503,True
pud,equalize,134,361419783,0.01,0.02761787969038301,True
pud,equalize,135,1730158410,0.01,0.06350520407833155,True
pud,equalize,136,1951860311,0.01,0.07765220468966377,True
pud,equalize,137,930509684,0.01,0.025206293592045004,True
pud,equalize,138,324799276,0.01,0.04369161323119543,True
pud,equalize,139,1839940639,0.01,0.08818498103219978,True
pud,equalize,140,1652006928,0.01,0.014777966962695866,True
pud,equalize,141,3597688421,0.01,0.08823161878907777,True
pud,equalize,142,1172275092,0.01,0.09048231198834084,True
pud,equalize,143,664595473,0.01,0.02397629485026147,True
pud,equalize,144,377135104,0.01,0.05492796266281755,True
pud,equalize,145,2443636641,0.01,0.03769758737958047,True
pud,equalize,146,1846271879,0.01,0.062042982642138804,True
pud,equalize,147,1960997360,0.01,0.05949336376078279,True
pud,equalize,148,797755014,0.01,0.046558242418709234,True
pud,equalize,149,2400456096,0.01,0.09988397434040464,True
pud,equalize,150,2198493565,0.01,0.07479484168003485,True
pud,equalize,151,577037974,0.01,0.04215385780130837,True
pud,equalize,152,4032454003,0.01,0.09946666505200703,True
pud,equalize,153,3846551279,0.01,0.001834400601078734,True
pud,equalize,154,1838898581,0.01,0.076283585942423,True
pud,equalize,155,110819357,0.01,0.08494056530347605,True
pud,equalize,156,790179592,0.01,0.004089151891397957,True
pud,equalize,157,330295487,0.01,0.09303018694495038,True
pud,equalize,158,3311435916,0.01,0.01271181581269324,True
pud,equalize,159,3552794595,0.01,0.016527455441888782,True
pud,equalize,160,679112817,0.01,0.05773430486599568,True
pud,equalize,161,3829425417,0.01,0.05244904361133721,True
pud,equalize,162,1456451065,0.01,0.04813618306192106,True
pud,equalize,163,3425468707,0.01,0.004942135309241514,True
pud,equalize,164,1717013335,0.01,0.09962397008826426,True
pud,equalize,165,2994609966,0.01,0.005049082552147255,True
pud,equalize,166,1346030325,0.01,0.0530922733736203,True
pud,equalize,167,39171448,0.01,0.07507892118411322,True
pud,equalize,168,3241571597,0.01,0.03640368512599074,True
pud,equalize,169,4166863443,0.01,0.09229104612922738,True
pud,equalize,170,1022199175,0.01,0.022719429437478268,True
pud,equalize,171,4007667338,0.01,0.09239182085093313,True
pud,equalize,172,260072703,0.01,0.09957313345077917,True
pud,equalize,173,3681239136,0.01,0.05816614813515123,True
pud,equalize,174,3369644481,0.01,0.011695345239736966,True
pud,equalize,175,1439232831,0.01,0.09104568823093849,True
pud,equalize,176,3299711385,0.01,0.04083397591529928,True
pud,equalize,177,3364404261,0.01,0.08991065466576198,True
pud,equalize,178,1552180763,0.01,0.035435495853991694,True
pud,equalize,179,2340740125,0.01,0.08075818589693716,True
pud,equalize,180,3382072763,0.01,0.037695377010993104,True
pud,equalize,181,992723448,0.01,0.07458392340642475,True
pud,equalize,182,534518569,0.01,0.049294574760321966,True
pud,equalize,183,526808229,0.01,0.031499735955893504,True
pud,equalize,184,1191982905,0.01,0.044654046726519236,True
pud,equalize,185,4184469738,0.01,0.05185504222447104,True
pud,equalize,186,3039462877,0.01,0.0913038801975626,True
pud,equalize,187,3644056201,0.01,0.010619426692876978,True
pud,equalize,188,2103666528,0.01,0.0061185739856869925,True
pud,equalize,189,728424126,0.01,0.042505813184679275,True
pud,equalize,190,3994247812,0.01,0.020688153536243672,True
pud,equalize,191,3036812794,0.01,0.02211472463592027,True
pud,equalize,192,4085656311,0.01,0.029539936489519927,True
pud,equalize,193,4263825733,0.01,0.04767754091530557,True
pud,equalize,194,2344549507,0.01,0.08851480254082555,True
pud,equalize,195,2853523642,0.01,0.04819293889920152,True
pud,equalize,196,3018806867,0.01,0.069365003682795,True
pud,equalize,197,2183602906,0.01,0.0991284925602734,True
pud,equalize,198,112266370,0.01,0.0017013660911448848,True
pud,equalize,199,831020141,0.01,0.09200064015172192,True
pud,equalize,200,1897931685,0.01,0.050109914145260274,True
pud,equalize,201,4269710698,0.01,0.08274935857113228,True
pud,equalize,202,2427043567,0.01,0.002244837783678144,True
pud,equalize,203,270427104,0.01,0.019846341146506342,True
pud,equalize,204,3204642532,0.01,0.054102186512573536,True
pud,equalize,205,4079115078,0.01,0.0852948767591526,True
pud,equalize,206,1210399738,0.01,0.0325145990846733,True
pud,equalize,207,666333072,0.01,0.07011536673108415,True
pud,equalize,208,2480952451,0.01,0.020636736319494788,True
pud,equalize,209,2718942889,0.01,0.08674734663921425,True
pud,equalize,210,1839828515,0.01,0.08267714781010593,True
pud,equalize,211,1692021170,0.01,0.0232913641058352,True
pud,equalize,212,973457236,0.01,0.08047673094596432,True
pud,equalize,213,351407908,0.01,0.000739256349097106,True
pud,equalize,214,2867509709,0.01,0.061793709408703115,True
pud,equalize,215,2610352706,0.01,0.0008085138778195167,True
pud,equalize,216,830684638,0.01,0.011454122548900348,True
pud,equalize,217,3086526338,0.01,0.016156850489845855,True
pud,equalize,218,2957769966,0.01,0.013342036824744531,True
pud,equalize,219,2500628027,0.01,0.019212981638529913,True
pud,equalize,220,662323480,0.01,0.08665069506472856,True
pud,equalize,221,932805948,0.01,0.017665162980861626,True
pud,equalize,222,310027932,0.01,0.06565969186809927,True
pud,equalize,223,714969255,0.01,0.0612710153779276,True
pud,equalize,224,2078527871,0.01,0.018434977528201557,True
pud,equalize,225,330017373,0.01,0.04110193696305199,True
pud,equalize,226,35641933,0.01,0.08963249695345749,True
pud,equalize,227,236497692,0.01,0.06750759184245443,True
pud,equalize,228,2245290576,0.01,0.06929644192720286,True
pud,equalize,229,113797827,0.01,0.0821126931134302,True
pud,equalize,230,2172460135,0.01,0.0841945344984291,True
pud,equalize,231,2532127898,0.01,0.08142061009913427,True
pud,equalize,232,4125726934,0.01,0.020772100093355485,True
pud,equalize,233,1513890026,0.01,0.0030273609480812483,True
pud,equalize,234,500477390,0.01,0.04214659384438729,True
pud,equalize,235,746478831,0.01,0.09437150492021867,True
pud,equalize,236,98914687,0.01,0.09799340557539199,True
pud,equalize,237,609370654,0.01,0.04604975220876332,True
pud,equalize,238,2585679379,0.01,0.09505573581716725,True
pud,equalize,239,1983093560,0.01,0.02703885956756208,True
pud,equalize,240,2928556786,0.01,0.01600927431136976,True
pud,equalize,241,536824427,0.01,0.005636560706678617,True
pud,equalize,242,2416067404,0.01,0.00972261355089592,True
pud,equalize,243,1831038507,0.01,0.014830406182046563,True
pud,equalize,244,4144443140,0.01,0.039580025148635525,True
pud,equalize,245,432500633,0.01,0.0844352434881059,True
pud,equalize,246,3416406834,0.01,0.07563189618282536,True
pud,equalize,247,307607768,0.01,0.08892609718322533,True
pud,equalize,248,2220092600,0.01,0.04453897502922638,True
pud,equalize,249,2860671086,0.01,0.05572333711441904,True
pud,equalize,250,1061755010,0.01,0.05010573681842774,True
pud,equalize,251,246284251,0.01,0.018748805880790177,True
pud,equalize,252,4058265628,0.01,0.08954895470740007,True
pud,equalize,253,471088870,0.01,0.010908265709989075,True
pud,equalize,254,1700613688,0.01,0.03331389533537497,True
pud,equalize,255,1707153896,0.01,0.03683670326305939,True
pud,equalize,256,4142023427,0.01,0.0410460070743539,True
pud,equalize,257,3682413662,0.01,0.03998748858185133,True
pud,equalize,258,3834111607,0.01,0.008454880003725662,True
pud,equalize,259,1003887128,0.01,0.0747871140031551,True
pud,equalize,260,2831647785,0.01,0.04653703112706469,True
pud,equalize,261,1198917739,0.01,0.07149423646968527,True
pud,equalize,262,153675678,0.01,0.07549537976016844,True
pud,equalize,263,2972985023,0.01,0.08665102934233217,True
pud,equalize,264,4212660858,0.01,0.027730594337353698,True
pud,equalize,265,896697876,0.01,0.03977583950296814,True
pud,equalize,266,3553789914,0.01,0.09739901146457514,True
pud,equalize,267,1915749051,0.01,0.03980196532544316,True
pud,equalize,268,165650907,0.01,0.054803800191488464,True
pud,equalize,269,3436711644,0.01,0.003855130701584897,True
pud,equalize,270,887837027,0.01,0.06165645295595398,True
pud,equalize,271,2434386146,0.01,0.056849710719510976,True
pud,equalize,272,1181669392,0.01,0.05231156897143352,True
pud,equalize,273,1807904526,0.01,0.09305845844781624,True
pud,equalize,274,2992397590,0.01,0.04456706344878683,True
pud,equalize,275,2289651720,0.01,0.06166277514755728,True
pud,equalize,276,85594302,0.01,0.09064098997045206,True
pud,equalize,277,2997591200,0.01,0.07167491124837097,True
pud,equalize,278,1201138581,0.01,0.04304022306416481,True
pud,equalize,279,49339549,0.01,0.08298087013615088,True
pud,equalize,280,1537252383,0.01,0.06183973301537842,True
pud,equalize,281,2309255172,0.01,0.08765941255436656,True
pud,equalize,282,2707132060,0.01,0.014104526531473462,True
pud,equalize,283,1167726466,0.01,0.05425282166155629,True
pud,equalize,284,955765094,0.01,0.023917385697085736,True
pud,equalize,285,2390769340,0.01,0.037987247899445145,True
pud,equalize,286,1227838771,0.01,0.024499993521167263,True
pud,equalize,287,3109019122,0.01,0.03409833958626134,True
pud,equalize,288,3949115246,0.01,0.08289035351969933,True
pud,equalize,289,250967347,0.01,0.09591826222679145,True
pud,equalize,290,2697615383,0.01,0.09180440700323339,True
pud,equalize,291,3867606104,0.01,0.03716947071450432,True
pud,equalize,292,1279854195,0.01,0.04246937844370268,True
pud,equalize,293,1535401342,0.01,0.028737753486011954,True
pud,equalize,294,3133160219,0.01,0.07299994974083987,True
pud,equalize,295,2947174807,0.01,0.006681291987176031,True
pud,equalize,296,3571519007,0.01,0.07908846463743385,True
pud,equalize,297,164647332,0.01,0.08944616350930308,True
pud,equalize,298,2588767183,0.01,0.007318581734121976,True
pud,equalize,299,3002836733,0.01,0.09516219553100023,True
pud,equalize,300,3308161180,0.01,0.09738130892047757,True
pud,equalize,301,2878552831,0.01,0.01965861071628977,True
pud,equalize,302,1413810153,0.01,0.031060510953517164,True
pud,equalize,303,1918757293,0.01,0.051890452768968615,True
pud,equalize,304,3278007299,0.01,0.016419602579156867,True
pud,equalize,305,1335723153,0.01,0.007529140072194607,True
pud,equalize,306,1782209223,0.01,0.06127765227904994,True
pud,equalize,307,1056458568,0.01,0.0684197453775433,True
pud,equalize,308,3941202253,0.01,0.0765783475260951,True
pud,equalize,309,3647727360,0.01,0.09861208340852846,True
pud,equalize,310,3630409394,0.01,0.059710470496129264,True
pud,equalize,311,143043466,0.01,0.09016311576185347,True
pud,equalize,312,386192462,0.01,0.030728100657273816,True
pud,equalize,313,3895380428,0.01,0.09022061605596361,True
pud,equalize,314,2314621544,0.01,0.09459224132057502,True
pud,equalize,315,795401736,0.01,0.021004590645067867,True
pud,equalize,316,543136458,0.01,0.04674307174749268,True
pud,equalize,317,3721279863,0.01,0.07977475834134579,True
pud,equalize,318,3655582978,0.01,0.0829911516706858,True
pud,equalize,319,3476228002,0.01,0.04475319311661963,True
pud,equalize,320,320682312,0.01,0.06677888936295587,True
pud,equalize,321,2570152234,0.01,0.045747008652155155,True
pud,equalize,322,1376046097,0.01,0.07902706231711586,True
pud,equalize,323,1424641864,0.01,0.0869649519905848,True
pud,equalize,324,675316190,0.01,0.018452363068587774,True
pud,equalize,325,886365448,0.01,0.03462286010084579,True
pud,equalize,326,2118043286,0.01,0.0836988708754707,True
pud,equalize,327,395370746,0.01,0.09654802719331496,True
pud,equalize,328,2632149503,0.01,0.04081174553072856,True
pud,equalize,329,2540336080,0.01,0.07264753460496122,True
pud,equalize,330,1843019308,0.01,0.08501163475603675,True
pud,equalize,331,4258941450,0.01,0.03822255654751616,True
pud,equalize,332,3052876612,0.01,0.024130592208209956,True
pud,equalize,333,2547125374,0.01,0.05351369981654315,True
pud,equalize,334,1204284778,0.01,0.02774865645095427,True
pud,equalize,335,2456260863,0.01,0.06795412944517386,True
pud,equalize,336,1264259698,0.01,0.026266921123489065,True
pud,equalize,337,2133682687,0.01,0.09714788835173042,True
pud,equalize,338,828927787,0.01,0.08860511554310417,True
pud,equalize,339,3299917986,0.01,0.04172543594592312,True
pud,equalize,340,3048806035,0.01,0.0051574553396095185,True
pud,equalize,341,3518162126,0.01,0.08414489888167771,True
pud,equalize,342,2178962323,0.01,0.014852448508562523,True
pud,equalize,343,28579940,0.01,0.017142395398182898,True
pud,equalize,344,1788953209,0.01,0.035140226320397906,True
pud,equalize,345,4086908033,0.01,0.08422741269863411,True
pud,equalize,346,3937737302,0.01,0.07354100032713717,True
pud,equalize,347,545998963,0.01,0.026988654538871573,True
pud,equalize,348,1123679684,0.01,0.023575694791362636,True
pud,equalize,349,2294755645,0.01,0.002075073549617079,True
pud,equalize,350,3544286971,0.01,0.07823966338557767,True
pud,equalize,351,1774756150,0.01,0.01084698799783358,True
pud,equalize,352,2722422922,0.01,0.041538599840188296,True
pud,equalize,353,4108784518,0.01,0.09760769512999293,True
pud,equalize,354,643297664,0.01,0.03743625845780805,True
pud,equalize,355,1369368609,0.01,0.021228480713684772,True
pud,equalize,356,3683887113,0.01,0.06847145287080564,True
pud,equalize,357,3592001036,0.01,0.02668820440415264,True
pud,equalize,358,4230743719,0.01,0.004275925505511147,True
pud,equalize,359,2155594198,0.01,0.08474515980370728,True
pud,equalize,360,3060115725,0.01,0.08964761554433265,True
pud,equalize,361,687133936,0.01,0.07625404586832393,True
pud,equalize,362,1168843034,0.01,0.052173828163873094,True
pud,equalize,363,4017812151,0.01,0.07034389473114021,True
pud,equalize,364,1765466353,0.01,0.06534791649360291,True
pud,equalize,365,1980464546,0.01,0.05491114692232531,True
pud,equalize,366,2871192629,0.01,0.0013852395750204027,True
pud,equalize,367,3141563465,0.01,0.08956255182591999,True
pud,equalize,368,1021662246,0.01,0.019937089044323876,True
pud,equalize,369,2141899379,0.01,0.018677110252034824,True
pud,equalize,370,1864537338,0.01,0.013021385258141572,True
pud,equalize,371,2285163371,0.01,0.09387168036438064,True
pud,equalize,372,306856375,0.01,0.09309311643203436,True
pud,equalize,373,2581883294,0.01,0.022574730230532105,True
pud,equalize,374,2993227665,0.01,0.03090514482829553,True
pud,equalize,375,2986770833,0.01,0.043420104007617505,True
pud,equalize,376,4140414916,0.01,0.007653215630011468,True
pud,equalize,377,3980512224,0.01,0.06211399993604999,True
pud,equalize,378,1479399471,0.01,0.08995769873982185,True
pud,equalize,379,2639043348,0.01,0.03888552565343272,True
pud,equalize,380,3442941342,0.01,0.07808313177277848,True
pud,equalize,381,1419636526,0.01,0.0502419344320461,True
pud,equalize,382,2726089996,0.01,0.04668936121979287,True
pud,equalize,383,1984947544,0.01,0.023757737938410406,True
pud,equalize,384,3040045033,0.01,0.07311625919766285,True
pud,equalize,385,555665847,0.01,0.08014166945095338,True
pud,equalize,386,2495697098,0.01,0.0801308829872352,True
pud,equalize,387,2969251848,0.01,0.020646448148479303,True
pud,equalize,388,950445987,0.01,0.05098086088078773,True
pud,equalize,389,776356534,0.01,0.07875574341557857,True
pud,equalize,390,3397008040,0.01,0.021406512952854218,True
pud,equalize,391,3119294755,0.01,0.0956202426232301,True
pud,equalize,392,571320202,0.01,0.08210644528940436,True
pud,equalize,393,4063977146,0.01,0.07963634440720069,True
pud,equalize,394,3284149828,0.01,0.07495673384010462,True
pud,equalize,395,3852439688,0.01,0.028227987003976066,True
pud,equalize,396,1559555436,0.01,0.029072979775555376,True
pud,equalize,397,3994953107,0.01,0.030016750874753518,True
pud,equalize,398,1597858404,0.01,0.020859165098074006,True
pud,equalize,399,3891763615,0.01,0.08190776269776208,True
pud,equalize,400,4173344980,0.01,0.07120999274136203,True
pud,equalize,401,774508615,0.01,0.05905010035648026,True
pud,equalize,402,4107993732,0.01,0.0843464555901963,True
pud,equalize,403,1688044170,0.01,0.04713663610070476,True
pud,equalize,404,4181666290,0.01,0.02605887546300292,True
pud,equalize,405,441834233,0.01,0.08570333569844699,True
