network,method,variant_index,n_runs,build_sec,run_sec,sec_per_run,total_steps,num_cores
tobacco,equalize,0,1000,0.0012581348419189453,1.751948595046997,0.001751948595046997,174851,60
tobacco,equalize,1,1000,0.001210927963256836,1.7520086765289307,0.0017520086765289307,177076,60
tobacco,equalize,2,1000,0.0012996196746826172,1.8014836311340332,0.0018014836311340333,174215,60
tobacco,equalize,3,1000,0.00128173828125,1.8168277740478516,0.0018168277740478517,174196,60
tobacco,equalize,4,1000,0.001653909683227539,1.8461339473724365,0.0018461339473724366,171714,60
tobacco,equalize,5,1000,0.0011374950408935547,1.776076316833496,0.0017760763168334962,176200,60
tobacco,equalize,6,1000,0.0015246868133544922,1.7841699123382568,0.0017841699123382568,175676,60
tobacco,equalize,7,1000,0.0013110637664794922,1.784705638885498,0.001784705638885498,175324,60
tobacco,equalize,8,1000,0.00128936767578125,1.8584423065185547,0.0018584423065185548,173372,60
tobacco,equalize,9,1000,0.0012896060943603516,1.9665155410766602,0.0019665155410766603,175065,60
tobacco,equalize,10,1000,0.0015861988067626953,1.9247827529907227,0.0019247827529907226,175487,60
tobacco,equalize,11,1000,0.0014579296112060547,1.8059794902801514,0.0018059794902801514,172762,60
tobacco,equalize,12,1000,0.0013997554779052734,2.0435569286346436,0.0020435569286346438,174829,60
tobacco,equalize,13,1000,0.0013155937194824219,2.453108310699463,0.002453108310699463,172149,60
tobacco,equalize,14,1000,0.0011734962463378906,2.4664182662963867,0.0024664182662963866,176618,60
tobacco,equalize,15,1000,0.0013895034790039062,2.44439435005188,0.0024443943500518798,174431,60
tobacco,equalize,16,1000,0.0012688636779785156,2.5286786556243896,0.0025286786556243898,175701,60
tobacco,equalize,17,1000,0.0012209415435791016,2.502872943878174,0.0025028729438781737,174423,60
tobacco,equalize,18,1000,0.001363992691040039,2.403648853302002,0.002403648853302002,172323,60
tobacco,equalize,19,1000,0.0011970996856689453,2.4805917739868164,0.0024805917739868164,174112,60
tobacco,equalize,20,1000,0.001123189926147461,1.7897224426269531,0.0017897224426269532,175629,60
tobacco,equalize,21,1000,0.0013968944549560547,1.763521671295166,0.001763521671295166,173910,60
