network,method,variant_index,proportion_edges,uncertainty,n_experiments,n_agents,n_edges,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,variation_seed,mean_share_of_correct_agents_at_convergence,std_share_of_correct_agents_at_convergence,mean_convergence_step,std_convergence_step,mean_proportion_reached_by_truth,std_proportion_reached_by_truth,n_runs
ego,equalize,0,0.005741959481792991,0.01,1000,503,2933,5.831013916500994,0.9188496704735786,0.5931543479123499,3982466393,1.0,0.0,190.061,63.644024392246294,0.0,0.0,1000
ego,equalize,1,0.05314436436460224,0.01,1000,503,2933,5.831013916500994,0.9078403767643034,0.5939037478113135,1154238087,0.9984453280318092,0.001378748714410785,198.129,74.13250290518312,0.603986083499006,0.48737393120054784,1000
ego,equalize,2,0.0929248913138006,0.01,1000,503,2933,5.831013916500994,0.9009604154818786,0.5940906284452471,3593136189,1.0,0.0,201.202,73.34588478445679,0.0,0.0,1000
ego,equalize,3,0.03659294341846627,0.01,1000,503,2933,5.831013916500994,0.9129417155437644,0.5893385563744507,1907999395,0.9978330019880716,0.0019324677898302114,193.461,63.30606714318256,0.5615228628230616,0.49500642764203695,1000
ego,equalize,4,0.08863903582231891,0.01,1000,503,2933,5.831013916500994,0.9021344147864263,0.5927316502574917,3671128606,0.9979264413518887,0.001915245745883601,198.392,64.04800139334937,0.008180914512922464,0.004917370705615614,1000
ego,equalize,5,0.012090970325266438,0.01,1000,503,2933,5.831013916500994,0.9173950500881516,0.5933470472237348,4223360688,0.9987912524850895,0.0015841961389354239,192.909,65.02863555728696,0.59,0.49207940633818675,1000
ego,equalize,6,0.02602863003394299,0.01,1000,503,2933,5.831013916500994,0.9141984099494408,0.5937630492965444,1583879707,1.0,0.0,191.588,66.90131569739148,0.0,0.0,1000
ego,equalize,7,0.06234037629743844,0.01,1000,503,2933,5.831013916500994,0.9106154074529976,0.587566686491439,2752605305,0.9979363817097415,0.001872847249481295,197.018,67.25764839233729,0.8444831013916501,0.3604850992968408,1000
ego,equalize,8,0.06436459176428816,0.01,1000,503,2933,5.831013916500994,0.9084775357402127,0.5914700617926656,642180976,0.9979920477137176,0.0018294004573006293,196.093,67.3497612567509,0.5885467196819086,0.4908241809900689,1000
ego,equalize,9,0.06503391202165547,0.01,1000,503,2933,5.831013916500994,0.9066907792928756,0.5931372874038644,901856688,0.9987435387673956,0.0016141809619492939,193.579,64.89330396812835,0.581,0.4936422618482766,1000
