network,method,variant_index,variation_seed,uncertainty,proportion_edges,done
pud,equalize,0,3734154003,0.0001,0.004772351124634,True
pud,equalize,1,3186587469,0.0001,0.09981935990650918,True
pud,equalize,2,2064431263,0.0001,0.02877822012614836,True
pud,equalize,3,2921280402,0.0001,0.025979669031606957,True
pud,equalize,4,1019403083,0.0001,0.020243749829566195,True
pud,equalize,5,2900224567,0.0001,0.036609986897760016,True
pud,equalize,6,2700840707,0.0001,0.0822951502323242,True
pud,equalize,7,3410059598,0.0001,0.015307526062387822,True
pud,equalize,8,1896416520,0.0001,0.07066826924018114,True
pud,equalize,9,877889889,0.0001,0.01834546345951772,True
pud,equalize,10,150370821,0.0001,0.03282695538358005,True
pud,equalize,11,2360733065,0.0001,0.007572832095518034,True
pud,equalize,12,907230640,0.0001,0.06968499688977768,True
pud,equalize,13,798248490,0.0001,0.09445343847546248,True
pud,equalize,14,1534832996,0.0001,0.02970377577622937,True
pud,equalize,15,2374614226,0.0001,0.032212618057521535,True
pud,equalize,16,2846442906,0.0001,0.0555619697556615,True
pud,equalize,17,2973467770,0.0001,0.08772837521888939,True
pud,equalize,18,1629916369,0.0001,0.07163139210681234,True
pud,equalize,19,1956231758,0.0001,0.081065855515531,True
pud,equalize,20,2960347869,0.0001,0.019056023872883812,True
pud,equalize,21,2193350118,0.0001,0.07778020451355998,True
pud,equalize,22,159685708,0.0001,0.06751727054693567,True
pud,equalize,23,3653344140,0.0001,0.09386561100635969,True
pud,equalize,24,1618662884,0.0001,0.08799577322291008,True
pud,equalize,25,4146090686,0.0001,0.07612349508459067,True
pud,equalize,26,1509952308,0.0001,0.014440200251182212,True
pud,equalize,27,732608822,0.0001,0.09506427589073081,True
pud,equalize,28,3586423296,0.0001,0.038028705877970165,True
pud,equalize,29,3443619693,0.0001,0.02078811074408229,True
pud,equalize,30,964924135,0.0001,0.07788118480804423,True
pud,equalize,31,1404814912,0.0001,0.07194338701070124,True
pud,equalize,32,352630081,0.0001,0.05542849701901612,True
pud,equalize,33,2253003152,0.0001,0.02578405441050722,True
pud,equalize,34,1156191026,0.0001,0.07744665243194217,True
pud,equalize,35,2983232260,0.0001,0.06094707491808419,True
pud,equalize,36,4012671159,0.0001,0.09472326541612736,True
pud,equalize,37,2547023247,0.0001,0.09907633864047911,True
pud,equalize,38,3935224639,0.0001,0.0870790681191458,True
pud,equalize,39,1123738524,0.0001,0.09490935953652077,True
pud,equalize,40,3280674636,0.0001,0.06242891314368546,True
pud,equalize,41,686969787,0.0001,0.013107106110269563,True
pud,equalize,42,1541858294,0.0001,0.008853885546716279,True
pud,equalize,43,1360040400,0.0001,0.09286095206794005,True
pud,equalize,44,2491100772,0.0001,0.08712676657398531,True
pud,equalize,45,1142986200,0.0001,0.051486195909398125,True
pud,equalize,46,2329259398,0.0001,0.011392547827567979,True
pud,equalize,47,2425075876,0.0001,0.056855997220986915,True
pud,equalize,48,3351096500,0.0001,0.05997319493715504,True
pud,equalize,49,3063207546,0.0001,0.008685734940177292,True
pud,equalize,50,1712482617,0.0001,0.07608838161047479,True
pud,equalize,51,2835922143,0.0001,0.09150714522242098,True
pud,equalize,52,2286474431,0.0001,0.09521618021150786,True
pud,equalize,53,1220378115,0.0001,0.0009824686508125625,True
pud,equalize,54,1000745071,0.0001,0.0637145703827528,True
pud,equalize,55,2422334696,0.0001,0.05483748713742547,True
pud,equalize,56,1809098390,0.0001,0.04533950632887938,True
pud,equalize,57,2635239417,0.0001,0.044552457240951526,True
pud,equalize,58,3649341240,0.0001,0.0729772906589451,True
pud,equalize,59,385883789,0.0001,0.051948145639310786,True
pud,equalize,60,2682539680,0.0001,0.05192264792535494,True
pud,equalize,61,802395091,0.0001,0.07502432501266182,True
pud,equalize,62,2050235730,0.0001,0.08033351205375079,True
pud,equalize,63,855788552,0.0001,0.06531116273687976,True
pud,equalize,64,1388148674,0.0001,0.09236169694214552,True
pud,equalize,65,2442032015,0.0001,0.09263779834263519,True
pud,equalize,66,3645679763,0.0001,0.09746213205643535,True
pud,equalize,67,3508516147,0.0001,0.015591815899778018,True
pud,equalize,68,1341388602,0.0001,0.06371788811979105,True
pud,equalize,69,2529716113,0.0001,0.04861435267049474,True
pud,equalize,70,1497489120,0.0001,0.004684395969535438,True
pud,equalize,71,4211174143,0.0001,0.09307551468982768,True
pud,equalize,72,2936337532,0.0001,0.08364407659010811,True
pud,equalize,73,2935442320,0.0001,0.03247074809570183,True
pud,equalize,74,198839675,0.0001,0.08760555976029394,True
pud,equalize,75,2279575079,0.0001,0.025581473807078516,True
pud,equalize,76,2014265740,0.0001,0.08915734194071381,True
pud,equalize,77,556061220,0.0001,0.054015938907693566,True
pud,equalize,78,3473703501,0.0001,0.05847174918659104,True
pud,equalize,79,1310520764,0.0001,0.021733876927599906,True
pud,equalize,80,2053345736,0.0001,0.0033250492120803447,True
pud,equalize,81,3572890169,0.0001,0.054160696474353114,True
pud,equalize,82,2155657998,0.0001,0.04840669546149943,True
pud,equalize,83,4035774884,0.0001,0.035499806170503405,True
pud,equalize,84,3178017391,0.0001,0.025843197252535446,True
pud,equalize,85,1208675821,0.0001,0.03692195582474025,True
pud,equalize,86,1817190915,0.0001,0.0036859585026280508,True
pud,equalize,87,3391338082,0.0001,0.07419154939023569,True
pud,equalize,88,1159415673,0.0001,0.0491132336898812,True
pud,equalize,89,1462590846,0.0001,0.020576387146893305,True
pud,equalize,90,4000448396,0.0001,0.05109504912079289,True
pud,equalize,91,3167823958,0.0001,0.023426843454134674,True
pud,equalize,92,2604152931,0.0001,0.006833632570841886,True
pud,equalize,93,2344789952,0.0001,0.07702417629941453,True
pud,equalize,94,612316107,0.0001,0.07590128405118579,True
pud,equalize,95,4203521739,0.0001,0.08813168133109896,True
pud,equalize,96,4037189167,0.0001,0.028997197285329068,True
pud,equalize,97,1959069493,0.0001,0.016185255367929842,True
pud,equalize,98,1195900396,0.0001,0.046113275049884696,True
pud,equalize,99,1854702345,0.0001,0.03109457034358464,True
pud,equalize,100,2748153563,0.0001,0.08843270052816246,True
pud,equalize,101,2364148922,0.0001,0.09329001574728654,True
pud,equalize,102,4126681126,0.0001,0.05492380720864592,True
pud,equalize,103,996972798,0.0001,0.03629603142571324,True
pud,equalize,104,511527542,0.0001,0.009302896400540805,True
pud,equalize,105,3588644556,0.0001,0.02812451897554279,True
pud,equalize,106,514606345,0.0001,0.005382505531679638,True
pud,equalize,107,520880747,0.0001,0.010512451786455303,True
pud,equalize,108,3026702530,0.0001,0.02157209019514298,True
pud,equalize,109,3941024906,0.0001,0.03387681563374696,True
pud,equalize,110,2316250878,0.0001,0.08807547859394188,True
pud,equalize,111,550789400,0.0001,0.08962292762672487,True
pud,equalize,112,4203676874,0.0001,0.061864383740972834,True
pud,equalize,113,2041850228,0.0001,0.050916545227142375,True
pud,equalize,114,1967408483,0.0001,0.09129808801656691,True
pud,equalize,115,2820351251,0.0001,0.09459404593087883,True
pud,equalize,116,4209970697,0.0001,0.09851469440189597,True
pud,equalize,117,4149840906,0.0001,0.06947527750496771,True
pud,equalize,118,2456451447,0.0001,0.05806880379914774,True
pud,equalize,119,656673805,0.0001,0.07878806270925905,True
pud,equalize,120,1130923545,0.0001,0.08923129532089533,True
pud,equalize,121,2725725615,0.0001,0.03125019719349249,True
pud,equalize,122,1177162026,0.0001,0.09123773121330289,True
