network,method,variant_index,proportion_edges,uncertainty,n_experiments,n_agents,n_edges,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,variation_seed,mean_share_of_correct_agents_at_convergence,std_share_of_correct_agents_at_convergence,mean_convergence_step,std_convergence_step,mean_proportion_reached_by_truth,std_proportion_reached_by_truth,n_runs
ego,equalize,0,0.03827396318217602,0.0001,1000,503,2933,5.831013916500994,0.9131016831164395,0.5929179451944047,2486417708,0.9124155069582505,0.13468887534714538,19946.084,13714.45553565958,0.0,0.0,1000
ego,equalize,1,0.021051796252716283,0.0001,1000,503,2933,5.831013916500994,0.916550475530723,0.5922377034020081,1834041383,0.8998111332007952,0.16543669998920285,20130.606,14245.70348345432,0.0020318091451292245,0.001988584940195236,1000
ego,equalize,2,0.04383343123952285,0.0001,1000,503,2933,5.831013916500994,0.9121364550508066,0.5932093999173665,4190606787,0.9068230616302188,0.14738773068299377,19958.989,12967.949984082634,0.519,0.49988887654046577,1000
ego,equalize,3,0.07149379504457652,0.0001,1000,503,2933,5.831013916500994,0.9038113629847238,0.593108912890764,4170537841,0.9233220675944334,0.07647636123168604,21168.174,12181.477441689343,0.0,0.0,1000
ego,equalize,4,0.01071076358694232,0.0001,1000,503,2933,5.831013916500994,0.9178125925659816,0.5930917365585676,3731316510,0.8924115308151094,0.18558352886485152,19657.827,14089.72424245057,0.51,0.5001501276118508,1000
ego,equalize,5,0.07086514573877573,0.0001,1000,503,2933,5.831013916500994,0.9050206093815559,0.5935428218605507,880344341,0.921803180914513,0.08739822905138943,20992.061,12183.315316176147,0.0,0.0,1000
ego,equalize,6,0.0360802390715797,0.0001,1000,503,2933,5.831013916500994,0.9124807920292768,0.5934926248317642,550580995,0.9010815109343937,0.16045538829386957,19903.6,13499.35793156714,0.5014870775347913,0.4978319671171983,1000
ego,equalize,7,0.026297475042896513,0.0001,1000,503,2933,5.831013916500994,0.9148179453792079,0.5931313001146781,1633153458,0.9105745526838966,0.1400670053440332,19854.226,13303.541021947753,0.522,0.4997657108743714,1000
ego,equalize,8,0.09130437933760444,0.0001,1000,503,2933,5.831013916500994,0.9002676745527517,0.5929259728226173,1647889938,0.9226421471172962,0.08213912249921501,20685.104,12060.864645587531,0.0,0.0,1000
ego,equalize,9,0.09055545071001446,0.0001,1000,503,2933,5.831013916500994,0.9011637640912114,0.5934720090101232,2026764402,0.9212882703777336,0.09153919203828335,20420.315,12420.807203614613,0.0020397614314115304,0.0019883939344254677,1000
ego,equalize,10,0.022464695862048103,0.0001,1000,503,2933,5.831013916500994,0.9136710592225712,0.5934647079445141,2559712700,0.9085168986083499,0.1479655984042093,19653.364,13909.466171520775,0.505,0.5002251745216604,1000
ego,equalize,11,0.04583034974031071,0.0001,1000,503,2933,5.831013916500994,0.9119778431355271,0.5964631352152905,2730180442,0.9156341948310139,0.12402433873354746,19904.883,13275.66178324434,0.0,0.0,1000
ego,equalize,12,0.09896744562624812,0.0001,1000,503,2933,5.831013916500994,0.902047652713111,0.593940667980307,3136377862,0.9220457256461233,0.07797004313898202,20900.095,12762.939863524192,0.487,0.500081074508005,1000
ego,equalize,13,0.019697471830643777,0.0001,1000,503,2933,5.831013916500994,0.9156421850757033,0.5939744033951077,2596512012,0.9028767395626243,0.161874289150864,19867.956,14688.95514287021,0.508,0.5001861515337929,1000
ego,equalize,14,0.010904987162670922,0.0001,1000,503,2933,5.831013916500994,0.9184307723383531,0.5935257035572882,5827681,0.8969741550695824,0.18164001370054195,19781.063,16211.334194426887,0.0,0.0,1000
ego,equalize,15,0.07434153826250349,0.0001,1000,503,2933,5.831013916500994,0.9061403823902816,0.5908330078597526,4262763878,0.9137813121272366,0.12338662255281733,19928.223,12564.629213332943,0.0,0.0,1000
