network,method,variant_index,proportion_edges,uncertainty,n_experiments,n_agents,n_edges,average_degree,degree_gini_coefficient,approx_average_clustering_coefficient,variation_seed,mean_share_of_correct_agents_at_convergence,std_share_of_correct_agents_at_convergence,mean_convergence_step,std_convergence_step,mean_proportion_reached_by_truth,std_proportion_reached_by_truth,n_runs
tobacco,equalize,0,0.05224858346509747,0.0001,1000,289,1229,4.252595155709343,0.7390034939932034,0.2363109790741246,1812297492,0.7959031141868512,0.0516218807901639,16780.855,6922.997562850228,0.9005813148788927,0.016926076601197756,1000
tobacco,equalize,1,0.0028587669083866007,0.0001,1000,289,1229,4.252595155709343,0.7616623636962563,0.2347788344592611,2405103526,0.7709480968858131,0.05938104294514135,16014.417,6937.523473044974,0.8673079584775087,0.022595855036560794,1000
tobacco,equalize,2,0.024955572671985417,0.0001,1000,289,1229,4.252595155709343,0.751408436825168,0.2358195677748632,988742546,0.7860034602076125,0.05404384806925937,16228.566,6934.3882881314485,0.8852110726643599,0.0186224402614372,1000
tobacco,equalize,3,0.041050583298535885,0.0001,1000,289,1229,4.252595155709343,0.7488013153856766,0.23497787951018406,3146541465,0.7811280276816609,0.05857673284361789,16399.817,6934.283516225335,0.8816955017301038,0.021389600779745492,1000
tobacco,equalize,4,0.09737711024593831,0.0001,1000,289,1229,4.252595155709343,0.7212942133729,0.23516184125770043,420395804,0.7932145328719723,0.05443967943032393,17335.534,6997.9076912244955,0.895560553633218,0.01958598262216643,1000
tobacco,equalize,5,0.03332077265578837,0.0001,1000,289,1229,4.252595155709343,0.7499331326844623,0.2344929388790839,2728500107,0.778235294117647,0.05571440983177898,15965.946,6832.617124488527,0.8777716262975779,0.021562912747632668,1000
tobacco,equalize,6,0.07163983027522165,0.0001,1000,289,1229,4.252595155709343,0.7333106219082665,0.23520884522783983,198035707,0.7910588235294117,0.05347037868523639,17074.519,7045.92741736741,0.8944117647058824,0.02103189211322831,1000
tobacco,equalize,7,0.07491967057725747,0.0001,1000,289,1229,4.252595155709343,0.7301516691489691,0.23534933638517466,3033598779,0.7878131487889274,0.04973281335677091,16794.695,7007.117868624711,0.8702145328719724,0.0202852894848551,1000
tobacco,equalize,8,0.06211173824722125,0.0001,1000,289,1229,4.252595155709343,0.737567606375341,0.2346706631016718,2549487514,0.7905778546712803,0.05068726468193885,16958.179,6794.483366170838,0.8925674740484429,0.02061575120157669,1000
tobacco,equalize,9,0.09255656050857616,0.0001,1000,289,1229,4.252595155709343,0.7294140170786163,0.23817668206361006,2871386160,0.8054290657439447,0.052307554494267446,17167.522,6890.126494094333,0.906,0.02035209258993647,1000
tobacco,equalize,10,0.01911986282058863,0.0001,1000,289,1229,4.252595155709343,0.7536382858317308,0.2331782947824175,858108122,0.7743460207612457,0.05068853357688792,15962.174,6499.228764573397,0.8666297577854671,0.023270324867429918,1000
