n_agents,shape,conclusion,steps
5,cycle,1.0,224
5,cycle,1.0,1092
5,cycle,1.0,438
5,cycle,1.0,268
5,cycle,0.0,93
5,cycle,1.0,455
5,cycle,0.0,20
5,cycle,1.0,371
5,cycle,1.0,705
5,cycle,1.0,1167
5,cycle,1.0,631
5,cycle,1.0,737
5,cycle,0.0,18
5,cycle,1.0,551
5,cycle,0.0,551
5,cycle,1.0,399
5,cycle,0.0,43
5,cycle,1.0,238
5,cycle,1.0,194
5,cycle,1.0,982
5,cycle,1.0,221
5,cycle,1.0,333
5,cycle,0.0,11
5,cycle,0.0,1
5,cycle,1.0,192
5,cycle,1.0,209
5,cycle,0.0,25
5,cycle,1.0,566
5,cycle,1.0,278
5,cycle,1.0,345
5,cycle,1.0,135
5,cycle,1.0,1539
5,cycle,1.0,295
5,cycle,1.0,601
5,cycle,0.0,1
5,cycle,1.0,524
5,cycle,1.0,1071
5,cycle,0.0,25
5,cycle,1.0,94
5,cycle,1.0,367
5,cycle,0.0,23
5,cycle,1.0,508
5,cycle,1.0,598
5,cycle,1.0,622
5,cycle,0.0,90
5,cycle,1.0,344
5,cycle,1.0,346
5,cycle,0.0,162
5,cycle,1.0,765
5,cycle,1.0,445
5,cycle,1.0,918
5,cycle,0.0,1
5,cycle,1.0,266
5,cycle,1.0,142
5,cycle,1.0,489
5,cycle,1.0,267
5,cycle,1.0,814
5,cycle,1.0,776
5,cycle,1.0,698
5,cycle,0.0,5
5,cycle,1.0,1051
5,cycle,1.0,367
5,cycle,1.0,316
5,cycle,1.0,216
5,cycle,1.0,199
5,cycle,1.0,360
5,cycle,1.0,338
5,cycle,1.0,1024
5,cycle,0.0,8
5,cycle,1.0,1025
5,cycle,1.0,248
5,cycle,1.0,574
5,cycle,0.0,8
5,cycle,1.0,271
5,cycle,1.0,149
5,cycle,1.0,790
5,cycle,1.0,465
5,cycle,1.0,260
5,cycle,1.0,498
5,cycle,1.0,352
5,cycle,1.0,287
5,cycle,1.0,341
5,cycle,1.0,463
5,cycle,1.0,490
5,cycle,1.0,751
5,cycle,1.0,336
5,cycle,0.0,4
5,cycle,1.0,516
5,cycle,1.0,237
5,cycle,1.0,205
5,cycle,1.0,361
5,cycle,1.0,561
5,cycle,1.0,956
5,cycle,1.0,149
5,cycle,1.0,314
5,cycle,1.0,225
5,cycle,1.0,1027
5,cycle,1.0,264
5,cycle,0.0,117
5,cycle,1.0,261
5,cycle,1.0,911
5,cycle,1.0,161
5,cycle,1.0,374
5,cycle,1.0,510
5,cycle,1.0,482
5,cycle,0.0,1
5,cycle,1.0,670
5,cycle,0.0,210
5,cycle,1.0,494
5,cycle,0.0,469
5,cycle,1.0,687
5,cycle,1.0,237
5,cycle,1.0,86
5,cycle,1.0,392
5,cycle,1.0,822
5,cycle,0.0,10
5,cycle,1.0,1151
5,cycle,1.0,302
